db_id,question,query,correct_tables
manufactory_1,"Find the average prices of all products from each manufacture, and list each company's name.","SELECT AVG(t1.price) ,  t2.name FROM products as t1 JOIN manufacturers as t2 ON t1.manufacturer  =  t2.code GROUP BY t2.name","products, manufacturers"
manufactory_1,What are the average prices of products for each manufacturer?,"SELECT AVG(t1.price) ,  t2.name FROM products as t1 JOIN manufacturers as t2 ON t1.manufacturer  =  t2.code GROUP BY t2.name","products, manufacturers"
manufactory_1,What are the names of all products?,SELECT name FROM products,products
manufactory_1,Where is the headquarter of the company founded by James?,SELECT headquarter FROM manufacturers WHERE founder  =  'James',manufacturers
manufactory_1,How many manufacturers have headquarters in either Tokyo or Beijing?,SELECT COUNT(*) FROM manufacturers WHERE headquarter  =  'Tokyo' OR headquarter  =  'Beijing',manufacturers
manufactory_1,What are the names and revenues of the companies with the highest revenues in each headquarter city?,"SELECT name ,  MAX(revenue) ,  headquarter FROM manufacturers GROUP BY headquarter",manufacturers
manufactory_1,"Find the number of products for each manufacturer, showing the name of each company.","SELECT COUNT(*) ,  t2.name FROM products as t1 JOIN manufacturers as t2 ON t1.manufacturer  =  t2.code GROUP BY t2.name","products, manufacturers"
manufactory_1,What are the names of companies with revenue between 100 and 150?,SELECT name FROM manufacturers WHERE revenue BETWEEN 100 AND 150,manufacturers
manufactory_1,Find all information of all the products with a price between $60 and $120.,SELECT * FROM products WHERE price BETWEEN 60 AND 120,products
manufactory_1,"What are the names, headquarters and revenues for manufacturers, sorted by revenue descending?","SELECT name ,  headquarter ,  revenue FROM manufacturers ORDER BY revenue DESC",manufacturers
manufactory_1,Select all the data from the products and each product's manufacturer.,SELECT * FROM products as t1 JOIN manufacturers as t2 ON t1.manufacturer  =  t2.code,"products, manufacturers"
manufactory_1,Find the number of different products that are produced by companies at different headquarter cities.,"SELECT COUNT(DISTINCT t1.name) ,  t2.headquarter FROM products as t1 JOIN manufacturers as t2 ON t1.manufacturer  =  t2.code GROUP BY t2.headquarter","products, manufacturers"
manufactory_1,Find the name of product that is produced by both companies Creative Labs and Sony.,SELECT t1.name FROM products as t1 JOIN manufacturers as t2 ON t1.manufacturer  =  t2.code WHERE t2.name  =  'Creative Labs' INTERSECT SELECT t1.name FROM products as t1 JOIN manufacturers as t2 ON t1.manufacturer  =  t2.code WHERE t2.name  =  'Sony',"products, manufacturers"
manufactory_1,What is the total revenue of companies started by founder?,"SELECT SUM(revenue) ,  founder FROM manufacturers GROUP BY founder",manufacturers
manufactory_1,Select the names and the prices of all the products in the store.,"SELECT name ,  price FROM products",products
manufactory_1,Find the name and revenue of the company that earns the highest revenue in each city.,"SELECT name ,  MAX(revenue) ,  headquarter FROM manufacturers GROUP BY headquarter",manufacturers
manufactory_1,What is all the information of all the products that have a price between 60 and 120?,SELECT * FROM products WHERE price BETWEEN 60 AND 120,products
manufactory_1,Give the distinct headquarters of manufacturers.,SELECT DISTINCT headquarter FROM manufacturers,manufacturers
manufactory_1,What are the codes and names of the cheapest products in each category?,"SELECT code ,  name ,  MIN(price) FROM products GROUP BY name",products
manufactory_1,Select the code of the product that is cheapest in each product category.,"SELECT code ,  name ,  MIN(price) FROM products GROUP BY name",products
manufactory_1,What are the names and average prices of products for manufacturers whose products cost on average 150 or more?,"SELECT AVG(t1.price) ,  t2.name FROM products as t1 JOIN manufacturers as t2 ON t1.manufacturer  =  t2.code GROUP BY t2.name HAVING AVG(t1.price) >= 150","products, manufacturers"
manufactory_1,Find the total revenue for each manufacturer.,"SELECT SUM(revenue) ,  name FROM manufacturers GROUP BY name",manufacturers
manufactory_1,"Return the average, maximum, and total revenues across all manufacturers.","SELECT AVG(revenue) ,  MAX(revenue) ,  SUM(revenue) FROM manufacturers",manufacturers
manufactory_1,What is the average price of products with manufacturer codes equal to 2?,SELECT AVG(price) FROM products WHERE manufacturer  =  2,products
manufactory_1,What is the total revenue of companies with revenue greater than the lowest revenue of any manufacturer in Austin?,SELECT SUM(revenue) FROM manufacturers WHERE revenue  >  (SELECT MIN(revenue) FROM manufacturers WHERE headquarter  =  'Austin'),manufacturers
manufactory_1,"For each manufacturer name, what are the names and prices of their most expensive product?","SELECT t1.name ,  MAX(t1.price) ,  t2.name FROM products as t1 JOIN manufacturers as t2 ON t1.manufacturer  =  t2.code GROUP BY t2.name","products, manufacturers"
manufactory_1,"Find the name, headquarter and founder of the manufacturer that has the highest revenue.","SELECT name ,  headquarter ,  founder FROM manufacturers ORDER BY revenue DESC LIMIT 1",manufacturers
manufactory_1,"Select the name and price of all products with a price larger than or equal to $180, and sort first by price (in descending order), and then by name  (in ascending order).","SELECT name ,  price FROM products WHERE price  >=  180 ORDER BY price DESC ,  name ASC",products
manufactory_1,"What are the names and headquarters of all manufacturers, ordered by revenue descending?","SELECT name ,  headquarter FROM manufacturers ORDER BY revenue DESC",manufacturers
manufactory_1,How many products are not made by Sony?,SELECT COUNT(DISTINCT name) FROM products WHERE name NOT IN (SELECT t1.name FROM products as t1 JOIN manufacturers as t2 ON t1.manufacturer  =  t2.code WHERE t2.name  =  'Sony'),"products, manufacturers"
manufactory_1,Find the name of companies that do not make DVD drive.,SELECT name FROM manufacturers EXCEPT SELECT t2.name FROM products as t1 JOIN manufacturers as t2 ON t1.manufacturer  =  t2.code WHERE t1.name  =  'DVD drive',"manufacturers, products"
manufactory_1,"What are the names and prices of products that cost at least 180, sorted by price decreasing and name ascending?","SELECT name ,  price FROM products WHERE price  >=  180 ORDER BY price DESC ,  name ASC",products
manufactory_1,What are the different cities listed?,SELECT DISTINCT headquarter FROM manufacturers,manufacturers
manufactory_1,Return the total revenue of companies with headquarters in Tokyo or Taiwan.,SELECT SUM(revenue) FROM manufacturers WHERE headquarter  =  'Tokyo' OR headquarter  =  'Taiwan',manufacturers
manufactory_1,Find the founder of the company whose name begins with the letter 'S'.,SELECT founder FROM manufacturers WHERE name LIKE 'S%',manufacturers
manufactory_1,What are the names of manufacturers with revenue greater than the average of all revenues?,SELECT name FROM manufacturers WHERE revenue  >  (SELECT AVG(revenue) FROM manufacturers),manufacturers
manufactory_1,What are the names of companies that do not make DVD drives?,SELECT name FROM manufacturers EXCEPT SELECT t2.name FROM products as t1 JOIN manufacturers as t2 ON t1.manufacturer  =  t2.code WHERE t1.name  =  'DVD drive',"manufacturers, products"
manufactory_1,"Select the average price of each manufacturer's products, showing only the manufacturer's code.","SELECT AVG(price) ,  manufacturer FROM products GROUP BY manufacturer",products
manufactory_1,Find the total revenue of companies whose revenue is larger than the revenue of some companies based in Austin.,SELECT SUM(revenue) FROM manufacturers WHERE revenue  >  (SELECT MIN(revenue) FROM manufacturers WHERE headquarter  =  'Austin'),manufacturers
manufactory_1,"Select the average price of each manufacturer's products, showing the manufacturer's name.","SELECT AVG(t1.price) ,  t2.name FROM products as t1 JOIN manufacturers as t2 ON t1.manufacturer  =  t2.code GROUP BY t2.name","products, manufacturers"
game_1,Which game type has least number of games?,SELECT gtype FROM video_games GROUP BY gtype ORDER BY COUNT(*) LIMIT 1,video_games
game_1,How many games are played for all students?,SELECT SUM(gamesplayed) FROM sportsinfo,sportsinfo
game_1,How many students play each sport?,"SELECT sportname ,  COUNT(*) FROM sportsinfo GROUP BY sportname",sportsinfo
game_1,What are the ids of all male students who do not play football?,"SELECT stuid FROm student WHERE sex  =  'm' EXCEPT SELECT stuid FROm sportsinfo WHERE sportname  =  ""Football""","student, sportsinfo"
game_1,Show total hours per week and number of games played for student David Shieber.,"SELECT SUM(hoursperweek) ,  SUM(gamesplayed) FROM sportsinfo as t1 JOIN student as t2 ON t1.stuid  =  t2.stuid WHERE t2.fname  =  ""David"" AND t2.lname  =  ""Shieber""","sportsinfo, student"
game_1,Show ids for all students who have advisor 1121.,SELECT stuid FROM student WHERE advisor  =  1121,student
game_1,Which game type has most number of games?,SELECT gtype FROM video_games GROUP BY gtype ORDER BY COUNT(*) DESC LIMIT 1,video_games
game_1,Show all student ids and the number of hours played.,"SELECT stuid ,  SUM(hours_played) FROM plays_games GROUP BY stuid",plays_games
game_1,Show student ids who don't have any sports.,SELECT stuid FROM student EXCEPT SELECT stuid FROM sportsinfo,"student, sportsinfo"
game_1,How many different students are involved in sports?,SELECT COUNT(DISTINCT stuid) FROM sportsinfo,sportsinfo
game_1,What are the advisors,SELECT advisor FROM student GROUP BY advisor HAVING COUNT(*)  >=  2,student
game_1,How many different students play games?,SELECT COUNT(DISTINCT stuid) FROM plays_games,plays_games
game_1,Show total hours per week and number of games played for students under 20.,"SELECT SUM(hoursperweek) ,  SUM(gamesplayed) FROM sportsinfo as t1 JOIN student as t2 ON t1.stuid  =  t2.stuid WHERE t2.age  <  20","sportsinfo, student"
game_1,What is the total number of hours per week and number of games played by students under 20?,"SELECT SUM(hoursperweek) ,  SUM(gamesplayed) FROM sportsinfo as t1 JOIN student as t2 ON t1.stuid  =  t2.stuid WHERE t2.age  <  20","sportsinfo, student"
game_1,What are the ids of all female students who play football?,"SELECT stuid fROM student WHERE sex  =  'f' INTERSECT SELECT stuid fROM sportsinfo WHERE sportname  =  ""football""","student, sportsinfo"
game_1,What is the type of video game Call of Destiny.,"SELECT gtype FROM video_games WHERE gname  =  ""Call of Destiny""",video_games
game_1,What type has the most games?,SELECT gtype FROM video_games GROUP BY gtype ORDER BY COUNT(*) DESC LIMIT 1,video_games
game_1,Show all game names played by at least 1000 hours.,SELECT gname FROM plays_games as t1 JOIN video_games as t2 ON t1.gameid  =  t2.gameid GROUP BY t1.gameid HAVING SUM(hours_played)  >=  1000,"plays_games, video_games"
game_1,Show all game ids and the number of hours played.,"SELECT gameid ,  SUM(hours_played) FROM plays_games GROUP BY gameid",plays_games
game_1,Show all video games and their types in the order of their names.,"SELECT gname ,  gtype FROM video_games ORDER BY gname",video_games
game_1,What are the names of all games played by Linda Smith?,"SELECT gname FROM plays_games as t1 JOIN video_games as t2 ON t1.gameid  =  t2.gameid JOIN student as t3 ON t3.stuid  =  t1.stuid WHERE t3.lname  =  ""Smith"" AND t3.fname  =  ""Linda""","plays_games, video_games, student"
game_1,Show first name for all students with major 600.,SELECT fname FROM student WHERE major  =  600,student
game_1,What are the student IDs for everybody who worked for more than 10 hours per week on all sports?,SELECT stuid FROM sportsinfo GROUP BY stuid HAVING SUM(hoursperweek)  >  10,sportsinfo
game_1,What is the name of the game that has been played the most?,SELECT gname FROM plays_games as t1 JOIN video_games as t2 ON t1.gameid  =  t2.gameid GROUP BY t1.gameid ORDER BY SUM(hours_played) DESC LIMIT 1,"plays_games, video_games"
game_1,List ids for all student who are on scholarship.,SELECT stuid FROM sportsinfo WHERE onscholarship  =  'Y',sportsinfo
game_1,What is the first and last name of all students who play Football or Lacrosse?,"SELECT t2.lname ,  t2.fname FROM sportsinfo as t1 JOIN student as t2 ON t1.stuid  =  t2.stuid WHERE t1.sportname  =  ""Football"" OR t1.sportname  =  ""Lacrosse""","sportsinfo, student"
game_1,What is the first and last name of the student who played the most sports?,"SELECT t2.fname ,  t2.lname FROM sportsinfo as t1 JOIN student as t2 ON t1.stuid  =  t2.stuid GROUP BY t1.stuid ORDER BY COUNT(*) DESC LIMIT 1","sportsinfo, student"
game_1,Show all male student ids who don't play football.,"SELECT stuid FROm student WHERE sex  =  'm' EXCEPT SELECT stuid FROm sportsinfo WHERE sportname  =  ""Football""","student, sportsinfo"
game_1,"Show the average, minimum, and maximum age for different majors.","SELECT major ,  AVG(age) ,  MIN(age) ,  MAX(age) FROM student GROUP BY major",student
game_1,What are the first names for all students who are from the major numbered 600?,SELECT fname FROM student WHERE major  =  600,student
game_1,Find the last name and gender of the students who are playing both Call of Destiny and Works of Widenius games.,"SELECT lname ,  sex FROM student WHERE stuid IN (SELECT t1.stuid FROM plays_games as t1 JOIN video_games as t2 ON t1.gameid  =  t2.gameid WHERE t2.gname  =  ""Call of Destiny"" INTERSECT SELECT t1.stuid FROM plays_games as t1 JOIN video_games as t2 ON t1.gameid  =  t2.gameid WHERE t2.gname  =  ""Works of Widenius"")","student, plays_games, video_games"
game_1,What type of game is Call of Destiny?,"SELECT gtype FROM video_games WHERE gname  =  ""Call of Destiny""",video_games
game_1,Show all student IDs with the number of sports and total number of games played,"SELECT stuid ,  COUNT(*) ,  SUM(gamesplayed) FROM sportsinfo GROUP BY stuid",sportsinfo
game_1,What are the ids for all sporty students who are on scholarship?,SELECT stuid FROM sportsinfo WHERE onscholarship  =  'Y',sportsinfo
game_1,Find the last and first name of students who are playing Football or Lacrosse.,"SELECT t2.lname ,  t2.fname FROM sportsinfo as t1 JOIN student as t2 ON t1.stuid  =  t2.stuid WHERE t1.sportname  =  ""Football"" OR t1.sportname  =  ""Lacrosse""","sportsinfo, student"
game_1,What are the student ids for those on scholarship in major number 600?,SELECT stuid FROM student WHERE major  =  600 INTERSECT SELECT stuid FROM sportsinfo WHERE onscholarship  =  'Y',"student, sportsinfo"
game_1,What is the total number of all football games played by scholarship students?,"SELECT SUM(gamesplayed) FROM sportsinfo WHERE sportname  =  ""Football"" AND onscholarship  =  'Y'",sportsinfo
game_1,Show student ids who are on scholarship and have major 600.,SELECT stuid FROM student WHERE major  =  600 INTERSECT SELECT stuid FROM sportsinfo WHERE onscholarship  =  'Y',"student, sportsinfo"
game_1,Show ids of students who play video game and play sports.,SELECT stuid FROM sportsinfo INTERSECT SELECT stuid FROM plays_games,"sportsinfo, plays_games"
game_1,What is the total number of games played?,SELECT SUM(gamesplayed) FROM sportsinfo,sportsinfo
game_1,How many video games exist?,SELECT COUNT(*) FROM video_games,video_games
game_1,Show all video game types and the number of video games in each type.,"SELECT gtype ,  COUNT(*) FROM video_games GROUP BY gtype",video_games
game_1,Which sport has most number of students on scholarship?,SELECT sportname FROM sportsinfo WHERE onscholarship  =  'Y' GROUP BY sportname ORDER BY COUNT(*) DESC LIMIT 1,sportsinfo
game_1,Show all sport name and the number of students.,"SELECT sportname ,  COUNT(*) FROM sportsinfo GROUP BY sportname",sportsinfo
game_1,What are the names of all the video games and their types in alphabetical order?,"SELECT gname ,  gtype FROM video_games ORDER BY gname",video_games
game_1,Show all student IDs with more than total 10 hours per week on all sports played.,SELECT stuid FROM sportsinfo GROUP BY stuid HAVING SUM(hoursperweek)  >  10,sportsinfo
game_1,What are the first names and ages of all students who are playing both Football and Lacrosse?,"SELECT fname ,  age FROM student WHERE stuid IN (SELECT stuid FROM sportsinfo WHERE sportname  =  ""Football"" INTERSECT SELECT stuid FROM sportsinfo WHERE sportname  =  ""Lacrosse"")","student, sportsinfo"
game_1,What are the types of video games and how many are in each type?,"SELECT gtype ,  COUNT(*) FROM video_games GROUP BY gtype",video_games
game_1,Show ids for all students who live in CHI.,"SELECT stuid FROM student WHERE city_code  =  ""CHI""",student
game_1,What are ids and total number of hours played for each game?,"SELECT gameid ,  SUM(hours_played) FROM plays_games GROUP BY gameid",plays_games
game_1,Show all game names played by Linda Smith,"SELECT gname FROM plays_games as t1 JOIN video_games as t2 ON t1.gameid  =  t2.gameid JOIN student as t3 ON t3.stuid  =  t1.stuid WHERE t3.lname  =  ""Smith"" AND t3.fname  =  ""Linda""","plays_games, video_games, student"
game_1,what is the last name and gender of all students who played both Call of Destiny and Works of Widenius?,"SELECT lname ,  sex FROM student WHERE stuid IN (SELECT t1.stuid FROM plays_games as t1 JOIN video_games as t2 ON t1.gameid  =  t2.gameid WHERE t2.gname  =  ""Call of Destiny"" INTERSECT SELECT t1.stuid FROM plays_games as t1 JOIN video_games as t2 ON t1.gameid  =  t2.gameid WHERE t2.gname  =  ""Works of Widenius"")","student, plays_games, video_games"
game_1,What are the names of all video games that are collectible cards?,"SELECT gname FROM video_games WHERE gtype  =  ""Collectible card game""",video_games
game_1,Show all video games with type Collectible card game.,"SELECT gname FROM video_games WHERE gtype  =  ""Collectible card game""",video_games
game_1,What is the count of different game types?,SELECT COUNT(DISTINCT gtype) FROM video_games,video_games
game_1,What are the different types of video games?,SELECT DISTINCT gtype FROM video_games,video_games
game_1,How many games are played for all football games by students on scholarship?,"SELECT SUM(gamesplayed) FROM sportsinfo WHERE sportname  =  ""Football"" AND onscholarship  =  'Y'",sportsinfo
game_1,What is the first name and last name of the student who have most number of sports?,"SELECT t2.fname ,  t2.lname FROM sportsinfo as t1 JOIN student as t2 ON t1.stuid  =  t2.stuid GROUP BY t1.stuid ORDER BY COUNT(*) DESC LIMIT 1","sportsinfo, student"
game_1,What are the ids of all students and number of hours played?,"SELECT stuid ,  SUM(hours_played) FROM plays_games GROUP BY stuid",plays_games
game_1,Count the number of video games with Massively multiplayer online game type .,"SELECT COUNT(*) FROM video_games WHERE gtype  =  ""Massively multiplayer online game""",video_games
game_1,What are the ids of all students who are not video game players?,SELECT stuid FROM student EXCEPT SELECT stuid FROM plays_games,"student, plays_games"
game_1,Show last names for all student who are on scholarship.,SELECT t2.lname FROM sportsinfo as t1 JOIN student as t2 ON t1.stuid  =  t2.stuid WHERE t1.onscholarship  =  'Y',"sportsinfo, student"
game_1,What are the ids of all students who live in CHI?,"SELECT stuid FROM student WHERE city_code  =  ""CHI""",student
game_1,How many different types of sports do we offer?,SELECT COUNT(DISTINCT sportname) FROM sportsinfo,sportsinfo
game_1,Show the game name that has most number of hours played.,SELECT gname FROM plays_games as t1 JOIN video_games as t2 ON t1.gameid  =  t2.gameid GROUP BY t1.gameid ORDER BY SUM(hours_played) DESC LIMIT 1,"plays_games, video_games"
game_1,"What are the average, minimum, and max ages for each of the different majors?","SELECT major ,  AVG(age) ,  MIN(age) ,  MAX(age) FROM student GROUP BY major",student
game_1,Show student ids who are female and play football.,"SELECT stuid fROM student WHERE sex  =  'f' INTERSECT SELECT stuid fROM sportsinfo WHERE sportname  =  ""football""","student, sportsinfo"
game_1,How many students play video games?,SELECT COUNT(DISTINCT stuid) FROM plays_games,plays_games
game_1,What is the type with the fewest games?,SELECT gtype FROM video_games GROUP BY gtype ORDER BY COUNT(*) LIMIT 1,video_games
game_1,What are the ids of all students who have advisor number 1121?,SELECT stuid FROM student WHERE advisor  =  1121,student
game_1,What is the sport with the most scholarship students?,SELECT sportname FROM sportsinfo WHERE onscholarship  =  'Y' GROUP BY sportname ORDER BY COUNT(*) DESC LIMIT 1,sportsinfo
game_1,What are the ids of all students along with how many sports and games did they play?,"SELECT stuid ,  COUNT(*) ,  SUM(gamesplayed) FROM sportsinfo GROUP BY stuid",sportsinfo
game_1,What are the ids of all students who played video games and sports?,SELECT stuid FROM sportsinfo INTERSECT SELECT stuid FROM plays_games,"sportsinfo, plays_games"
game_1,What are the last names for all scholarship students?,SELECT t2.lname FROM sportsinfo as t1 JOIN student as t2 ON t1.stuid  =  t2.stuid WHERE t1.onscholarship  =  'Y',"sportsinfo, student"
game_1,Show all video game types.,SELECT DISTINCT gtype FROM video_games,video_games
game_1,Show all advisors who have at least two students.,SELECT advisor FROM student GROUP BY advisor HAVING COUNT(*)  >=  2,student
game_1,How many sports do we have?,SELECT COUNT(DISTINCT sportname) FROM sportsinfo,sportsinfo
game_1,How many students play sports?,SELECT COUNT(DISTINCT stuid) FROM sportsinfo,sportsinfo
musical,Who is the nominee who has been nominated for the most musicals?,SELECT nominee FROM musical GROUP BY nominee ORDER BY COUNT(*) DESC LIMIT 1,musical
musical,What are the names of actors who have been in the musical titled The Phantom of the Opera?,"SELECT t1.name FROM actor as t1 JOIN musical as t2 ON t1.musical_id  =  t2.musical_id WHERE t2.name  =  ""The Phantom of the Opera""","actor, musical"
musical,Show names of actors in descending order of the year their musical is awarded.,SELECT t1.name FROM actor as t1 JOIN musical as t2 ON t1.musical_id  =  t2.musical_id ORDER BY t2.year DESC,"actor, musical"
musical,"Show names of actors that have appeared in musical with name ""The Phantom of the Opera"".","SELECT t1.name FROM actor as t1 JOIN musical as t2 ON t1.musical_id  =  t2.musical_id WHERE t2.name  =  ""The Phantom of the Opera""","actor, musical"
musical,How many musicals has each nominee been nominated for?,"SELECT nominee ,  COUNT(*) FROM musical GROUP BY nominee",musical
musical,Who are the nominees who have been nominated for both a Tony Award and a Drama Desk Award?,"SELECT nominee FROM musical WHERE award  =  ""Tony award"" INTERSECT SELECT nominee FROM musical WHERE award  =  ""Drama Desk award""",musical
musical,Who are the nominees who have been nominated more than two times?,SELECT nominee FROM musical GROUP BY nominee HAVING COUNT(*)  >  2,musical
musical,Return the duration of the actor with the greatest age.,SELECT duration FROM actor ORDER BY age DESC LIMIT 1,actor
musical,Count the number of actors.,SELECT COUNT(*) FROM actor,actor
musical,"What are the names of actors, ordered alphabetically?",SELECT name FROM actor ORDER BY name ASC,actor
musical,How many actors are there?,SELECT COUNT(*) FROM actor,actor
musical,Return the different nominees of musicals that have an award that is not the Tony Award.,"SELECT DISTINCT nominee FROM musical WHERE award != ""Tony award""",musical
musical,Return the characters and durations for each actor.,"SELECT character ,  duration FROM actor",actor
musical,List the nominees that have been nominated more than two musicals.,SELECT nominee FROM musical GROUP BY nominee HAVING COUNT(*)  >  2,musical
musical,"What are the distinct nominees of the musicals with the award that is not ""Tony Award""?","SELECT DISTINCT nominee FROM musical WHERE award != ""Tony award""",musical
musical,Show names of actors and names of musicals they are in.,"SELECT t1.name ,  t2.name FROM actor as t1 JOIN musical as t2 ON t1.musical_id  =  t2.musical_id","actor, musical"
musical,List the name of actors in ascending alphabetical order.,SELECT name FROM actor ORDER BY name ASC,actor
musical,Who are the nominees who were nominated for either of the Bob Fosse or Cleavant Derricks awards?,"SELECT nominee FROM musical WHERE award  =  ""Tony award"" OR award  =  ""Cleavant Derricks""",musical
musical,List the name of actors whose age is not 20.,SELECT name FROM actor WHERE age != 20,actor
musical,What is the duration of the oldest actor?,SELECT duration FROM actor ORDER BY age DESC LIMIT 1,actor
musical,What are the names of actors who are not 20 years old?,SELECT name FROM actor WHERE age != 20,actor
musical,Please show the nominee who has been nominated the greatest number of times.,SELECT nominee FROM musical GROUP BY nominee ORDER BY COUNT(*) DESC LIMIT 1,musical
musical,"Return the characters for actors, ordered by age descending.",SELECT character FROM actor ORDER BY age DESC,actor
musical,List the most common result of the musicals.,SELECT result FROM musical GROUP BY result ORDER BY COUNT(*) DESC LIMIT 1,musical
musical,Show names of musicals and the number of actors who have appeared in the musicals.,"SELECT t2.name ,  COUNT(*) FROM actor as t1 JOIN musical as t2 ON t1.musical_id  =  t2.musical_id GROUP BY t1.musical_id","actor, musical"
musical,What are the names of musicals who have no actors?,SELECT name FROM musical WHERE musical_id NOT IN (SELECT musical_id FROM actor),"musical, actor"
musical,"What are the names of musicals with nominee ""Bob Fosse""?","SELECT name FROM musical WHERE nominee  =  ""Bob Fosse""",musical
musical,What are the names of actors and the musicals that they are in?,"SELECT t1.name ,  t2.name FROM actor as t1 JOIN musical as t2 ON t1.musical_id  =  t2.musical_id","actor, musical"
musical,"Show the musical nominee with award ""Bob Fosse"" or ""Cleavant Derricks"".","SELECT nominee FROM musical WHERE award  =  ""Tony award"" OR award  =  ""Cleavant Derricks""",musical
