reference_tables,predicted_tables
sportsinfo,sportsinfo
"plays_games, video_games","plays_games, video_games"
sportsinfo,sportsinfo
"sportsinfo, student","sportsinfo, student"
"sportsinfo, student","student, sportsinfo"
"student, sportsinfo","student, sportsinfo"
student,student
student,student
"student, plays_games, video_games","student, plays_games, video_games"
video_games,video_games
sportsinfo,sportsinfo
sportsinfo,sportsinfo
"sportsinfo, student","sportsinfo, student"
"student, sportsinfo","sportsinfo, student"
sportsinfo,sportsinfo
"student, sportsinfo","student, sportsinfo"
"sportsinfo, plays_games","sportsinfo, plays_games"
sportsinfo,sportsinfo
video_games,video_games
video_games,video_games
sportsinfo,sportsinfo
sportsinfo,sportsinfo
video_games,video_games
sportsinfo,sportsinfo
student,student
plays_games,plays_games
"plays_games, video_games, student","plays_games, student, video_games"
"student, plays_games, video_games","student, plays_games, video_games"
video_games,video_games
video_games,video_games
video_games,video_games
video_games,video_games
video_games,video_games
video_games,video_games
sportsinfo,sportsinfo
"sportsinfo, student","sportsinfo, student"
video_games,video_games
"student, plays_games","student, plays_games"
"sportsinfo, student","sportsinfo, student"
student,student
sportsinfo,sportsinfo
"plays_games, video_games","plays_games, video_games"
"student, sportsinfo","student, sportsinfo"
video_games,video_games
"plays_games, video_games","plays_games, video_games"
student,student
sportsinfo,sportsinfo
"sportsinfo, plays_games","sportsinfo, plays_games"
"sportsinfo, student","sportsinfo, student"
video_games,video_games
"student, sportsinfo","student, sportsinfo"
student,student
sportsinfo,sportsinfo
sportsinfo,sportsinfo
ref_budget_codes,ref_budget_codes
ref_budget_codes,ref_budget_codes
projects,projects
accounts,accounts
"documents, documents_with_expenses","documents, documents_with_expenses"
documents,documents
projects,projects
"documents_with_expenses, ref_budget_codes","documents_with_expenses, ref_budget_codes"
"documents, documents_with_expenses","documents, documents_with_expenses"
documents,documents
documents,documents
documents_with_expenses,documents_with_expenses
"projects, documents","documents, projects"
accounts,accounts
"accounts, statements","accounts, statements"
"documents, documents_with_Expenses","documents, documents_with_expenses"
statements,statements
"documents_with_expenses, ref_budget_codes","documents_with_expenses, ref_budget_codes"
ref_budget_codes,ref_budget_codes
documents,documents
documents_with_expenses,documents_with_expenses
"documents, documents_with_expenses","documents, documents_with_expenses"
"statements, documents","statements, documents"
"projects, documents","documents, projects"
accounts,accounts
ref_document_types,ref_document_types
documents,documents
ref_document_types,ref_document_types
ref_document_types,ref_document_types
accounts,accounts
"documents_with_expenses, ref_budget_codes","documents_with_expenses, ref_budget_codes"
"documents, documents_with_expenses","documents, documents_with_expenses"
documents,documents
documents,documents
"projects, documents","documents, projects"
documents,documents
documents,documents
documents_with_expenses,documents_with_expenses
"documents, projects","documents, projects"
documents,documents
accounts,accounts
"accounts, statements","accounts, statements"
"documents, documents_with_Expenses","documents, documents_with_expenses"
ref_budget_codes,ref_budget_codes
documents,documents
"documents, documents_with_expenses","documents, documents_with_expenses"
documents,documents
documents,documents
accounts,accounts
documents,documents
accounts,accounts
"documents, projects","documents, projects"
documents_with_expenses,documents_with_expenses
documents_with_expenses,documents_with_expenses
projects,projects
"ref_document_types, documents","ref_document_types, documents"
statements,statements
statements,statements
statements,statements
documents,documents
"statements, documents","statements, documents"
"ref_document_types, documents","ref_document_types, documents"
"accounts, statements","accounts, statements"
projects,projects
documents_with_expenses,documents_with_expenses
documents,documents
"documents_with_expenses, ref_budget_codes","documents_with_expenses, ref_budget_codes"
documents,documents
"documents, documents_with_expenses","documents, documents_with_expenses"
"documents, documents_with_expenses","documents, documents_with_expenses"
documents_with_expenses,documents_with_expenses
"accounts, statements","accounts, statements"
documents,documents
documents,documents
documents,documents
ref_budget_codes,ref_budget_codes
"venue, paper","venue, paper"
"paperkeyphrase, keyphrase, paper, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"writes, author, paper","writes, paper, author"
"writes, author","writes, author"
"venue, paper","venue, paper"
"paperdataset, dataset, paperkeyphrase, keyphrase","paperkeyphrase, paperdataset, dataset, keyphrase"
"paperdataset, dataset, paperkeyphrase, keyphrase","paperkeyphrase, paper, paperdataset, dataset, keyphrase"
"writes, author","writes, author"
"paper, cite, venue","paper, cite, venue"
"writes, author, paper","writes, paper, author"
"writes, author, paper","writes, paper, author"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"paperkeyphrase, keyphrase, paper, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"venue, paper, writes","venue, paper, writes"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"venue, paper, writes, author","venue, paper, writes, author"
"paperkeyphrase, keyphrase, paper, venue","paperkeyphrase, paper, venue, keyphrase"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"writes, author, paper","writes, paper, author"
"paperdataset, dataset, paper, venue","paper, venue, paperdataset, dataset"
"venue, paper","venue, paper"
"paperkeyphrase, keyphrase, paper, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"venue, paper, writes, author","venue, paper, writes, author"
"paperkeyphrase, keyphrase, paper, cite","paperkeyphrase, paper, cite, keyphrase"
"venue, paper, writes, author","venue, paper, writes, author"
"venue, paper","venue, paper"
"paper, cite, writes, author","paper, cite, writes, author"
"paperkeyphrase, keyphrase, paper, venue","paperkeyphrase, paper, venue, keyphrase"
"writes, author","writes, author"
"paper, journal, writes, author","writes, paper, author"
"venue, paper, writes, author","venue, paper, writes, author"
paper,paper
"paperkeyphrase, keyphrase, paper, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"venue, paper, writes","venue, paper, writes"
"paperdataset, dataset, paper","paper, paperdataset, dataset"
"writes, author","writes, author"
"paperkeyphrase, keyphrase, paper, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"paperkeyphrase, keyphrase, paper, writes","paperkeyphrase, paper, writes, keyphrase"
"paper, cite, venue","paper, cite, venue"
"writes, author, paper","writes, paper, author"
"paperkeyphrase, keyphrase, paper, cite","paperkeyphrase, paper, cite, keyphrase"
"writes, author, paper","writes, paper, author"
"writes, paper","writes, paper"
"writes, author","writes, author"
"paperkeyphrase, keyphrase, paper, writes","paperkeyphrase, paper, writes, keyphrase"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"venue, paper, writes, author","venue, paper, writes, author"
"paperdataset, dataset, paper, venue","paper, venue, paperdataset, dataset"
"paperdataset, dataset, paper","paper, paperdataset, dataset"
"venue, paper","venue, paper"
"writes, author","writes, author"
"venue, paper, writes","venue, paper, writes"
"venue, paper","venue, paper"
"writes, author","writes, author"
"writes, paper","writes, paper"
"venue, paper, writes","venue, paper, writes"
"venue, paper","venue, paper"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"writes, author, paper","writes, paper, author"
"paperkeyphrase, keyphrase, paper, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"venue, paper","venue, paper"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"venue, paper","venue, paper"
"paperdataset, dataset, paper","paper, paperdataset, dataset"
"paperkeyphrase, keyphrase, paper, writes","paperkeyphrase, paper, writes, keyphrase"
"writes, author","writes, author"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"writes, author, paper","writes, paper, author"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"venue, paper","venue, paper"
"paper, cite, writes, author","paper, cite, writes, author"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"paperdataset, dataset, paperkeyphrase, keyphrase","paperkeyphrase, paperdataset, dataset, keyphrase"
"paperkeyphrase, keyphrase, paper, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
paper,paper
"writes, author, paper","writes, paper, author"
"writes, author, paper","writes, paper, author"
"paperkeyphrase, keyphrase, paper, venue","paperkeyphrase, paper, venue, keyphrase"
"venue, paper, writes","venue, paper, writes"
"writes, author, paper","writes, paper, author"
"venue, paper, writes, author","venue, paper, writes, author"
"writes, author, paper","writes, paper, author"
"paper, journal","paper, journal"
"writes, author, paper","writes, paper, author"
"paperkeyphrase, keyphrase, paper, venue","paperkeyphrase, paper, venue, keyphrase"
"paperkeyphrase, keyphrase, paper, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"writes, author, cite","writes, cite, author"
"venue, paper","venue, paper"
"writes, author","writes, author"
"paperkeyphrase, keyphrase, paper, writes","paperkeyphrase, paper, writes, keyphrase"
"paper, cite, venue","paper, cite, venue"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"writes, author","writes, author"
"writes, author","writes, author"
paper,paper
"writes, author","writes, author"
venue,"venue, paper"
"venue, paper","venue, paper"
"writes, author, paper","writes, paper, author"
"writes, author","writes, author"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
paper,"venue, paper"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"writes, author, paper","writes, paper, author"
"venue, paper, writes, author","venue, paper, writes, author"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"venue, paper","venue, paper"
"writes, author","writes, author"
"paperdataset, dataset, paperkeyphrase, paper, venue, keyphrase","paperkeyphrase, paper, venue, paperdataset, dataset, keyphrase"
"writes, author, paper","writes, paper, author"
"paper, cite, venue","paper, cite, venue"
"paperdataset, dataset, paperkeyphrase, keyphrase","paperkeyphrase, paperdataset, dataset, keyphrase"
"paperkeyphrase, keyphrase, paper, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"paperkeyphrase, keyphrase, cite, paper, venue","paperkeyphrase, paper, cite, venue, keyphrase"
"paperkeyphrase, keyphrase, paper, writes","paperkeyphrase, paper, writes, keyphrase"
"paper, cite, venue","paper, cite, venue"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"venue, paper","venue, paper"
"paperkeyphrase, keyphrase, paper, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"paperkeyphrase, keyphrase, paper, writes","paperkeyphrase, paper, writes, keyphrase"
"paper, cite, writes, author","paper, cite, writes, author"
"venue, paper","venue, paper"
"paper, cite, venue","paper, cite, venue"
"paperdataset, dataset, paperkeyphrase, keyphrase","paperkeyphrase, paperdataset, dataset, keyphrase"
"writes, author, cite","writes, cite, author"
"writes, author","writes, author"
"paperkeyphrase, keyphrase, paper, writes","paperkeyphrase, paper, writes, keyphrase"
"paperkeyphrase, keyphrase, paper, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"venue, paper","venue, paper"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"venue, paper","venue, paper"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"writes, author, paper","writes, paper, author"
"venue, paper, writes, author","writes, paper, author"
"paperdataset, dataset, paper, venue","paper, venue, paperdataset, dataset"
"paperkeyphrase, keyphrase, paper, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"paperkeyphrase, keyphrase, paper, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"venue, paper","venue, paper"
"venue, paper","venue, paper"
"writes, author, paper","writes, paper, author"
"paperkeyphrase, keyphrase, paper, cite","paperkeyphrase, paper, cite, keyphrase"
"paperdataset, dataset, paper","paper, paperdataset, dataset"
"paper, paperkeyphrase, writes, author","paperkeyphrase, paper, writes, author"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"paperkeyphrase, keyphrase, paper, writes","paperkeyphrase, paper, writes, keyphrase"
"writes, author","writes, author"
"venue, paper, writes","venue, paper, writes"
"writes, author, paper","writes, paper, author"
"writes, author, cite","writes, cite, author"
"writes, author, paper","writes, paper, author"
"paper, paperdataset, writes, author","paper, writes, paperdataset, author"
"paperdataset, dataset, paper","paper, paperdataset, dataset"
"paperkeyphrase, keyphrase, paper, cite","paperkeyphrase, paper, cite, keyphrase"
"venue, paper","venue, paper"
"venue, paper, writes","venue, paper, writes"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"paperkeyphrase, keyphrase, paper, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"writes, author","writes, author"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"writes, author, cite","writes, cite, author"
"writes, author","writes, author"
"paperdataset, dataset, paperkeyphrase, paper, keyphrase","paperkeyphrase, paper, keyphrase"
"writes, author","writes, author"
"paperkeyphrase, keyphrase, paper, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"paper, cite, writes, author","paper, cite, writes, author"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"paperkeyphrase, keyphrase, paper, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"writes, author, paper","writes, paper, author"
"writes, author, paper","writes, paper, author"
"venue, paper","venue, paper"
"paper, cite, writes, author","paper, cite, writes, author"
"writes, author, paper","writes, paper, author"
paper,"paperkeyphrase, paper, keyphrase"
"venue, paper, writes","venue, paper, writes"
"paperkeyphrase, keyphrase, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"writes, author","writes, author"
"paperkeyphrase, keyphrase, paper, venue","paperkeyphrase, paper, venue, keyphrase"
"paperdataset, dataset, paper","paper, paperdataset, dataset"
"paperkeyphrase, keyphrase, writes, author","paperkeyphrase, writes, keyphrase, author"
"paperkeyphrase, keyphrase, paper, venue","paperkeyphrase, paper, venue, keyphrase"
"venue, paper, writes","venue, paper, writes"
"paper, paperkeyphrase, writes, author","paperkeyphrase, paper, writes, author"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"paperkeyphrase, keyphrase, paper, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"writes, author, cite","writes, cite, author"
"paperkeyphrase, keyphrase, paper, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"paperdataset, dataset, paper, venue","paper, venue, paperdataset, dataset"
"paperkeyphrase, keyphrase, paper, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"writes, author, paper","writes, paper, author"
"venue, paper, writes, author","venue, paper, writes, author"
"venue, paper","venue, paper"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"writes, author, paper","writes, paper, author"
"paper, cite, writes, author","paper, cite, writes, author"
"paperkeyphrase, keyphrase, paper, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"writes, author","writes, author"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"venue, paper","venue, paper"
"paperkeyphrase, keyphrase, writes, author","paperkeyphrase, writes, keyphrase, author"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"writes, author, paper","writes, paper, author"
"paperkeyphrase, keyphrase, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
paper,"paperkeyphrase, keyphrase"
"writes, author, cite","writes, cite, author"
"paperkeyphrase, keyphrase, paper, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"writes, author, paper","writes, paper, author"
"paperkeyphrase, keyphrase, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"paper, paperkeyphrase, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"writes, author, paper","writes, paper, author"
"venue, paper, writes, author","venue, paper, writes, author"
"venue, paper","venue, paper"
"paperkeyphrase, keyphrase, paper, writes","paperkeyphrase, paper, writes, keyphrase"
"paperkeyphrase, keyphrase, paper, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"writes, author, paper","writes, paper, author"
"paperkeyphrase, keyphrase, paper, venue","paperkeyphrase, paper, venue, keyphrase"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"venue, paper, writes, author","venue, paper, writes, author"
"writes, author","writes, author"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"paperkeyphrase, keyphrase, paper, venue","paperkeyphrase, paper, venue, keyphrase"
"paperkeyphrase, keyphrase, writes, paper, author","paperkeyphrase, paper, writes, keyphrase, author"
"paperkeyphrase, keyphrase, paper, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"paperkeyphrase, keyphrase, paper, cite","paperkeyphrase, paper, cite, keyphrase"
"paperkeyphrase, keyphrase, paper, cite","paperkeyphrase, paper, cite, keyphrase"
"paper, paperkeyphrase, writes, author","paperkeyphrase, paper, writes, author"
"writes, author, paper","writes, paper, author"
"paperkeyphrase, keyphrase, paper, venue","paperkeyphrase, paper, venue, keyphrase"
"paperkeyphrase, keyphrase, paper, venue","paperkeyphrase, paper, venue, keyphrase"
"paperdataset, dataset, paperkeyphrase, paper, venue, keyphrase","paperkeyphrase, paper, venue, paperdataset, dataset, keyphrase"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"paperkeyphrase, keyphrase, paper, cite","paperkeyphrase, paper, cite, keyphrase"
"venue, paper, writes","venue, paper, writes"
"paperdataset, dataset, paperkeyphrase, keyphrase","paperkeyphrase, paperdataset, dataset, keyphrase"
"paper, cite, writes, author","paper, cite, writes, author"
"writes, author, cite","writes, cite, author"
"venue, paper, writes","venue, paper, writes"
"paper, paperdataset, writes, author","paper, writes, paperdataset, author"
"paper, cite, venue","paper, cite, venue"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"venue, paper","venue, paper"
"venue, paper","venue, paper"
"paperkeyphrase, keyphrase, paper, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"writes, author, paper","writes, paper, author"
"paperdataset, dataset, paperkeyphrase, paper, venue, keyphrase","paperkeyphrase, paper, venue, keyphrase"
"venue, paper, writes, author","venue, paper, writes, author"
"paperkeyphrase, keyphrase, paper, cite","paperkeyphrase, paper, cite, keyphrase"
"paperkeyphrase, keyphrase, paper, venue","paperkeyphrase, paper, venue, keyphrase"
"paperkeyphrase, keyphrase, paper, venue","paperkeyphrase, paper, venue, keyphrase"
"writes, author","writes, author"
"venue, paper, writes","venue, paper, writes"
"writes, author, paper","writes, paper, author"
"paperkeyphrase, keyphrase, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"venue, paper, writes","venue, paper, writes"
"paperkeyphrase, keyphrase, paper, writes","paperkeyphrase, paper, writes, keyphrase"
"writes, author, paper","writes, paper, author"
"writes, author","writes, author"
"paper, cite, writes, author","paper, cite, writes, author"
"writes, author","writes, author"
"writes, author, paper","writes, paper, author"
"paperdataset, dataset, paper","paper, paperdataset, dataset"
"writes, author","writes, author"
"paperkeyphrase, keyphrase, paper, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"writes, author, cite","writes, cite, author"
"paperdataset, dataset, paper, writes","paper, writes, paperdataset, dataset"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"paperkeyphrase, keyphrase, paper, venue","paperkeyphrase, paper, venue, keyphrase"
"writes, author","writes, author"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"venue, paper, writes, author","venue, paper, writes, author"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"paper, paperdataset, writes, author","paper, writes, paperdataset, author"
paper,"paperkeyphrase, paper, keyphrase"
"writes, author","writes, author"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"paperkeyphrase, keyphrase, paper, venue","paperkeyphrase, paper, venue, keyphrase"
"paper, cite, writes, author","paper, cite, writes, author"
"paperdataset, dataset, paperkeyphrase, keyphrase","paperkeyphrase, paperdataset, dataset, keyphrase"
"paper, journal, paperkeyphrase","paper, journal"
"paperdataset, dataset, paperkeyphrase, keyphrase","paperkeyphrase, paperdataset, dataset, keyphrase"
"venue, paper","venue, paper"
"venue, paper, writes, author","venue, paper, writes, author"
"paperkeyphrase, keyphrase, paper, cite","paperkeyphrase, paper, cite, keyphrase"
"paperkeyphrase, keyphrase, paper, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"writes, author, paper","writes, paper, author"
"paper, cite, writes, author","paper, cite, writes, author"
"writes, author, paper","writes, paper, author"
"paper, cite, writes, author","paper, cite, writes, author"
"venue, paper","venue, paper"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"writes, author","writes, author"
"writes, author","writes, author"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"paperkeyphrase, keyphrase, paper, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"paperkeyphrase, keyphrase, paper, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"venue, paper","venue, paper"
"paperkeyphrase, keyphrase, paper, venue","paperkeyphrase, paper, venue, keyphrase"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"paper, cite, venue","paper, cite, venue"
"paperkeyphrase, keyphrase, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"writes, author, paper","writes, paper, author"
"paperkeyphrase, keyphrase, paper, venue","paperkeyphrase, paper, venue, keyphrase"
"venue, paper, writes, author","venue, paper, writes, author"
"venue, paper, writes, cite","paper, cite, venue"
"paper, cite, writes, author","paper, cite, writes, author"
"paper, paperdataset, writes, author","paper, writes, paperdataset, author"
"venue, paper, writes","venue, paper, writes"
"paper, paperdataset, writes, author","paper, writes, paperdataset, author"
"paperdataset, dataset, paper","paper, paperdataset, dataset"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"writes, author, paper","writes, paper, author"
"venue, paper, writes","venue, paper, writes"
"venue, paper","venue, paper"
"paper, paperdataset, writes, author","paper, writes, paperdataset, author"
"paperkeyphrase, keyphrase, paper, cite","paperkeyphrase, paper, cite, keyphrase"
"writes, author, paper","writes, paper, author"
"writes, author, paper","writes, paper, author"
"writes, author, paper","writes, paper, author"
"paperkeyphrase, keyphrase, paper, venue","paperkeyphrase, paper, venue, keyphrase"
"paperdataset, dataset, paperkeyphrase, keyphrase","paperkeyphrase, paperdataset, dataset, keyphrase"
paper,papers
"paperkeyphrase, keyphrase, paper, venue","paperkeyphrase, paper, venue, keyphrase"
"paper, cite, writes, author","paper, cite, writes, author"
"venue, paper, writes, author","venue, paper, writes, author"
"venue, paper","venue, paper"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"writes, author","writes, author"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"venue, paper, writes, author","venue, paper, writes, author"
"paperdataset, dataset, paper","paper, paperdataset, dataset"
"writes, author","writes, author"
"paperkeyphrase, keyphrase, paper, writes","paperkeyphrase, paper, writes, keyphrase"
"paperdataset, dataset, paper, paperkeyphrase, keyphrase","paperkeyphrase, paper, paperdataset, dataset, keyphrase"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"writes, author","writes, author"
"paperkeyphrase, keyphrase, paper, writes","paperkeyphrase, paper, writes, keyphrase"
"venue, paper, writes","venue, paper, writes"
"paperkeyphrase, keyphrase, paper, venue","paperkeyphrase, paper, venue, keyphrase"
"writes, author","writes, author"
"venue, paper, writes","venue, paper, writes"
"writes, author, paper","writes, paper, author"
"paperkeyphrase, keyphrase, paper, venue","paperkeyphrase, paper, venue, keyphrase"
"writes, author, paper","writes, paper, author"
"writes, author, paper","writes, paper, author"
"paperdataset, dataset, paperkeyphrase, paper, venue, keyphrase","paperkeyphrase, paper, venue, paperdataset, dataset, keyphrase"
"writes, author","writes, author"
"paperkeyphrase, keyphrase, paper, venue","paperkeyphrase, paper, venue, keyphrase"
"paperdataset, dataset, paper","paper, paperdataset, dataset"
paper,paper
"paper, cite, venue","paper, cite, venue"
"writes, author, paper","writes, paper, author"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"venue, paper","venue, paper"
"venue, paper, writes","venue, paper, writes"
"writes, author","writes, paper, author"
"venue, paper, writes, author","venue, paper, writes, author"
"paperkeyphrase, keyphrase, writes, paper, author, venue","paperkeyphrase, paper, writes, keyphrase, author"
"paperkeyphrase, keyphrase, paper, venue, writes, author","paperkeyphrase, paper, venue, keyphrase, author"
"paperdataset, dataset, paperkeyphrase, keyphrase","paperkeyphrase, paperdataset, dataset, keyphrase"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"paperkeyphrase, keyphrase, paper, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"writes, author","writes, author"
"paperkeyphrase, keyphrase, paper, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"writes, author, paper","writes, paper, author"
"paperdataset, dataset, paper, venue","paper, venue, paperdataset, dataset"
"venue, paper",None
"writes, author","writes, author"
"writes, author","writes, author"
"writes, author","writes, author"
"paperkeyphrase, keyphrase, paper, venue","paperkeyphrase, paper, venue, keyphrase"
"venue, paper, writes, author","venue, paper, writes, author"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"paper, journal, writes, author","paper, writes, author"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"writes, author, paper","writes, paper, author"
"paperkeyphrase, keyphrase, paper, writes","paperkeyphrase, paper, writes, keyphrase"
"paperkeyphrase, keyphrase, paper, writes","paperkeyphrase, paper, writes, keyphrase"
"paperkeyphrase, keyphrase, paper, venue","paperkeyphrase, paper, venue, keyphrase"
