question,create_table,sql,table_name
How many other goals did Dunne have in the season where he had 1 league goal?,"CREATE TABLE 1-2980024-1 (
  ""Season"" TEXT,
  ""Division"" TEXT,
  ""League_Apps"" TEXT,
  ""League_Goals"" TEXT,
  ""FA_Cup_Apps"" TEXT,
  ""FA_Cup_Goals"" TEXT,
  ""Other_Apps"" TEXT,
  ""Other_Goals"" TEXT,
  ""Total_Apps"" TEXT,
  ""Total_Goals"" TEXT
);","SELECT ""Other_Goals"" FROM 1-2980024-1 WHERE ""League_Goals"" = 1",1-2980024-1
What season number was assigned to the episode identified with the production code 401? ,"CREATE TABLE 1-28081876-6 (
  ""Series_no_"" TEXT,
  ""Season_no_"" TEXT,
  ""Title"" TEXT,
  ""Directed_by"" TEXT,
  ""Written_by"" TEXT,
  ""Original_air_date"" TEXT,
  ""Production_code"" TEXT,
  ""U_S__viewers__millions_"" TEXT
);","SELECT ""Season_no_"" FROM 1-28081876-6 WHERE ""Production_code"" = 401",1-28081876-6
What is the number of played when points against 645?,"CREATE TABLE 1-13018116-1 (
  ""Position"" TEXT,
  ""Club"" TEXT,
  ""Played"" TEXT,
  ""Won"" TEXT,
  ""Drawn"" TEXT,
  ""Lost"" TEXT,
  ""Pts_For"" TEXT,
  ""Pts_Agst"" TEXT,
  ""B_P_"" TEXT,
  ""Points"" TEXT
);","SELECT COUNT(""Played"") FROM 1-13018116-1 WHERE ""Pts_Agst"" = 645",1-13018116-1
Which capitals have an area of exactly 377930 square km?,"CREATE TABLE 1-19605700-1 (
  ""Country"" TEXT,
  ""Area_km_"" TEXT,
  ""Population"" TEXT,
  ""Population_density_per_km_"" TEXT,
  ""HDI__2011_"" TEXT,
  ""Capital"" TEXT
);","SELECT ""Capital"" FROM 1-19605700-1 WHERE ""Area_km_"" = 377930",1-19605700-1
How many population total figures are there for the year when Allora's population was 2132?,"CREATE TABLE 1-12584173-1 (
  ""Year"" TEXT,
  ""Population__Region_total_"" TEXT,
  ""Population__Stanthorpe_"" TEXT,
  ""Population__Warwick_"" TEXT,
  ""Population__Allora_"" TEXT,
  ""Population__Glengallan_"" TEXT,
  ""Population__Rosenthal_"" TEXT
);","SELECT COUNT(""Population__Region_total_"") FROM 1-12584173-1 WHERE ""Population__Allora_"" = 2132",1-12584173-1
How many Tot enlisted were there on the day when the number of total USAAF was 2329534?,"CREATE TABLE 1-23508196-2 (
  ""Date"" TEXT,
  ""Total_USAAF"" TEXT,
  ""Tot_Officers"" TEXT,
  ""Tot_Enlisted"" TEXT,
  ""__overseas"" TEXT,
  ""Officers_o_s"" TEXT,
  ""Enlisted_o_s"" TEXT
);","SELECT MAX(""Tot_Enlisted"") FROM 1-23508196-2 WHERE ""Total_USAAF"" = 2329534",1-23508196-2
What is the chassis for the year of 1969?,"CREATE TABLE 2-1228395-1 (
  ""Year"" TEXT,
  ""Entrant"" TEXT,
  ""Chassis"" TEXT,
  ""Engine"" TEXT,
  ""Points"" TEXT
);","SELECT ""Chassis"" FROM 2-1228395-1 WHERE ""Year"" = 1969",2-1228395-1
What's the average of shows that had a timeslot rank greater that 3 but still had a smaller viewership less than 4.87?,"CREATE TABLE 2-11317610-2 (
  ""Episode"" TEXT,
  ""Air_Date"" TEXT,
  ""Timeslot"" TEXT,
  ""Rating"" TEXT,
  ""Share"" TEXT,
  ""_18_49__Rating_Share_"" TEXT,
  ""Viewers__m_"" TEXT,
  ""Rank__Timeslot_"" TEXT,
  ""Rank__Night_"" TEXT,
  ""Rank__Overall_"" TEXT
);","SELECT AVG(""Share"") FROM 2-11317610-2 WHERE ""Rank__Timeslot_"" > 3 AND ""Viewers__m_"" < 4.87",2-11317610-2
What was the position of the player who was picked in round 22?,"CREATE TABLE 2-17100961-8 (
  ""Round"" TEXT,
  ""Pick"" TEXT,
  ""Overall"" TEXT,
  ""Name"" TEXT,
  ""Position"" TEXT,
  ""College"" TEXT
);","SELECT ""Position"" FROM 2-17100961-8 WHERE ""Round"" = 22",2-17100961-8
How many points have a Year larger than 1966?,"CREATE TABLE 2-1226576-1 (
  ""Year"" TEXT,
  ""Entrant"" TEXT,
  ""Chassis"" TEXT,
  ""Engine"" TEXT,
  ""Points"" TEXT
);","SELECT COUNT(""Points"") FROM 2-1226576-1 WHERE ""Year"" > 1966",2-1226576-1
What is the blocks total number if the points is 4?,"CREATE TABLE 1-23346303-5 (
  ""Player"" TEXT,
  ""Games_Played"" TEXT,
  ""Minutes"" TEXT,
  ""Field_Goals"" TEXT,
  ""Three_Pointers"" TEXT,
  ""Free_Throws"" TEXT,
  ""Rebounds"" TEXT,
  ""Assists"" TEXT,
  ""Blocks"" TEXT,
  ""Steals"" TEXT,
  ""Points"" TEXT
);","SELECT COUNT(""Blocks"") FROM 1-23346303-5 WHERE ""Points"" = 4",1-23346303-5
"Which Score-Final has a Rank-Final of 2, and a Year smaller than 2008?","CREATE TABLE 2-18507967-3 (
  ""Year"" TEXT,
  ""Competition_Description"" TEXT,
  ""Location"" TEXT,
  ""Apparatus"" TEXT,
  ""Rank_Final"" TEXT,
  ""Score_Final"" TEXT
);","SELECT SUM(""Score_Final"") FROM 2-18507967-3 WHERE ""Rank_Final"" = 2 AND ""Year"" < 2008",2-18507967-3
"Which Country has a To par smaller than 7, and a Total of 148?","CREATE TABLE 2-18017216-3 (
  ""Player"" TEXT,
  ""Country"" TEXT,
  ""Year_s__won"" TEXT,
  ""Total"" TEXT,
  ""To_par"" TEXT
);","SELECT ""Country"" FROM 2-18017216-3 WHERE ""To_par"" < 7 AND ""Total"" = 148",2-18017216-3
Which artist has a draw greater than 15?,"CREATE TABLE 2-182845-1 (
  ""Draw"" TEXT,
  ""Language"" TEXT,
  ""Artist"" TEXT,
  ""Song"" TEXT,
  ""English_translation"" TEXT,
  ""Place"" TEXT,
  ""Points"" TEXT
);","SELECT ""Artist"" FROM 2-182845-1 WHERE ""Draw"" > 15",2-182845-1
What league did they play in 2001?,"CREATE TABLE 2-1285368-1 (
  ""Year"" TEXT,
  ""Division"" TEXT,
  ""League"" TEXT,
  ""Reg__Season"" TEXT,
  ""Playoffs"" TEXT,
  ""Open_Cup"" TEXT
);","SELECT ""League"" FROM 2-1285368-1 WHERE ""Year"" = 2001",2-1285368-1
Who were the opponents for week 12?,"CREATE TABLE 2-18847749-2 (
  ""Week"" TEXT,
  ""Date"" TEXT,
  ""Opponent"" TEXT,
  ""Result"" TEXT,
  ""Attendance"" TEXT
);","SELECT ""Opponent"" FROM 2-18847749-2 WHERE ""Week"" = 12",2-18847749-2
Which nation won 29 gold medals?,"CREATE TABLE 2-18771517-6 (
  ""Rank"" TEXT,
  ""Nation"" TEXT,
  ""Gold"" TEXT,
  ""Silver"" TEXT,
  ""Bronze"" TEXT,
  ""Total"" TEXT
);","SELECT ""Nation"" FROM 2-18771517-6 WHERE ""Gold"" = 29",2-18771517-6
What happened to the incombent who was elected in 1980?,"CREATE TABLE 1-1341586-14 (
  ""District"" TEXT,
  ""Incumbent"" TEXT,
  ""Party"" TEXT,
  ""First_elected"" TEXT,
  ""Result"" TEXT,
  ""Candidates"" TEXT
);","SELECT ""Result"" FROM 1-1341586-14 WHERE ""First_elected"" = 1980",1-1341586-14
What is the earliest season that has a position over 12?,"CREATE TABLE 2-15020729-1 (
  ""Season"" TEXT,
  ""Belonging_league"" TEXT,
  ""Matches"" TEXT,
  ""Points"" TEXT,
  ""Draw"" TEXT,
  ""Lose"" TEXT,
  ""Goal_difference"" TEXT,
  ""Goals_For"" TEXT,
  ""Goals_Against"" TEXT,
  ""Position"" TEXT
);","SELECT MIN(""Season"") FROM 2-15020729-1 WHERE ""Position"" > 12",2-15020729-1
"What 2010 has a 2006 less than 6.9, a 2008 greater than 1.6, and 2 for 2007?","CREATE TABLE 2-182410-9 (
  ""_2006"" TEXT,
  ""_2007"" TEXT,
  ""_2008"" TEXT,
  ""_2009"" TEXT,
  ""_2010"" TEXT
);","SELECT ""_2010"" FROM 2-182410-9 WHERE ""_2006"" < 6.9 AND ""_2008"" > 1.6 AND ""_2007"" = 2",2-182410-9
Name The Player who has a Pick # of 27?,"CREATE TABLE 2-16441561-4 (
  ""Pick__"" TEXT,
  ""CFL_Team"" TEXT,
  ""Player"" TEXT,
  ""Position"" TEXT,
  ""College"" TEXT
);","SELECT ""Player"" FROM 2-16441561-4 WHERE ""Pick__"" = 27",2-16441561-4
what is the total number of games played when the goals for is less than 30?,"CREATE TABLE 2-12091980-1 (
  ""Team"" TEXT,
  ""Games_Played"" TEXT,
  ""Wins"" TEXT,
  ""Losses"" TEXT,
  ""Ties"" TEXT,
  ""Goals_For"" TEXT,
  ""Goals_Against"" TEXT
);","SELECT COUNT(""Games_Played"") FROM 2-12091980-1 WHERE ""Goals_For"" < 30",2-12091980-1
"If the place is smaller than 8 and they played more than 18, what is the total number of goals conceded?","CREATE TABLE 2-13043324-1 (
  ""Place"" TEXT,
  ""Team"" TEXT,
  ""Played"" TEXT,
  ""Draw"" TEXT,
  ""Lost"" TEXT,
  ""Goals_Scored"" TEXT,
  ""Goals_Conceded"" TEXT,
  ""Points"" TEXT
);","SELECT COUNT(""Goals_Conceded"") FROM 2-13043324-1 WHERE ""Place"" < 8 AND ""Played"" > 18",2-13043324-1
What was the word on episode number 673? ,"CREATE TABLE 1-25691838-2 (
  ""Episode__"" TEXT,
  ""The_W_rd"" TEXT,
  ""Guest"" TEXT,
  ""Introductory_phrase"" TEXT,
  ""Original_airdate"" TEXT,
  ""Production_code"" TEXT
);","SELECT ""The_W_rd"" FROM 1-25691838-2 WHERE ""Episode__"" = 673",1-25691838-2
When 15 is the number in season what is the highest number in series?,"CREATE TABLE 1-2468961-7 (
  ""No__in_series"" TEXT,
  ""No__in_season"" TEXT,
  ""Title"" TEXT,
  ""Directed_by"" TEXT,
  ""Written_by"" TEXT,
  ""Original_air_date"" TEXT,
  ""Production_code"" TEXT
);","SELECT MAX(""No__in_series"") FROM 1-2468961-7 WHERE ""No__in_season"" = 15",1-2468961-7
Who was the opponent in week 4?,"CREATE TABLE 1-14875671-1 (
  ""Week"" TEXT,
  ""Date"" TEXT,
  ""Opponent"" TEXT,
  ""Result"" TEXT,
  ""Record"" TEXT,
  ""Game_Site"" TEXT,
  ""Attendance"" TEXT
);","SELECT ""Opponent"" FROM 1-14875671-1 WHERE ""Week"" = 4",1-14875671-1
What is the country is ranked more than 4?,"CREATE TABLE 2-15346009-4 (
  ""Rank"" TEXT,
  ""Player"" TEXT,
  ""Country"" TEXT,
  ""Earnings_____"" TEXT,
  ""Wins"" TEXT
);","SELECT ""Country"" FROM 2-15346009-4 WHERE ""Rank"" > 4",2-15346009-4
What is the first locomotive that has a SLM number lower than 924?,"CREATE TABLE 2-1562368-2 (
  ""Built"" TEXT,
  ""Number"" TEXT,
  ""Type"" TEXT,
  ""SLM_Number"" TEXT,
  ""Wheel_arrangement"" TEXT,
  ""Location"" TEXT,
  ""Notes"" TEXT
);","SELECT MIN(""Number"") FROM 2-1562368-2 WHERE ""SLM_Number"" < 924",2-1562368-2
What is the average time in a rank of 61?,"CREATE TABLE 2-18568955-2 (
  ""Rank"" TEXT,
  ""Heat"" TEXT,
  ""Athlete"" TEXT,
  ""Country"" TEXT,
  ""Time"" TEXT
);","SELECT AVG(""Time"") FROM 2-18568955-2 WHERE ""Rank"" = 61",2-18568955-2
When was the motor gear of the LMS 1946 no. 1901 model fitted?,"CREATE TABLE 1-2030453-1 (
  ""LMS_1932_3_No_"" TEXT,
  ""LMS_1946_No_"" TEXT,
  ""BR_No_"" TEXT,
  ""Date_built"" TEXT,
  ""Date_motor_gear_fitted"" TEXT,
  ""Withdrawn"" TEXT
);","SELECT ""Date_motor_gear_fitted"" FROM 1-2030453-1 WHERE ""LMS_1946_No_"" = 1901",1-2030453-1
What's the Download information for the song from Week 44?,"CREATE TABLE 2-12375494-1 (
  ""Week"" TEXT,
  ""Issue_Date"" TEXT,
  ""Artist"" TEXT,
  ""Single"" TEXT,
  ""Download"" TEXT,
  ""Title"" TEXT
);","SELECT ""Download"" FROM 2-12375494-1 WHERE ""Week"" = 44",2-12375494-1
What nationality is the player ranked 2?,"CREATE TABLE 2-11621915-4 (
  ""Rank"" TEXT,
  ""Player"" TEXT,
  ""Country"" TEXT,
  ""Earnings_____"" TEXT,
  ""Wins"" TEXT
);","SELECT ""Country"" FROM 2-11621915-4 WHERE ""Rank"" = 2",2-11621915-4
Name the result/games for 54741,"CREATE TABLE 1-21436373-11 (
  ""Type_of_Record"" TEXT,
  ""Attendance"" TEXT,
  ""Date_Year"" TEXT,
  ""Stadium"" TEXT,
  ""Result_Games"" TEXT
);","SELECT ""Result_Games"" FROM 1-21436373-11 WHERE ""Attendance"" = 54741",1-21436373-11
How tall is the building built in 1985 with 22 floors?,"CREATE TABLE 2-17983290-1 (
  ""Rank"" TEXT,
  ""Name"" TEXT,
  ""Height_ft__m_"" TEXT,
  ""Floors"" TEXT,
  ""Year"" TEXT
);","SELECT ""Height_ft__m_"" FROM 2-17983290-1 WHERE ""Floors"" = 22 AND ""Year"" = 1985",2-17983290-1
What is number 4's title?,"CREATE TABLE 2-163029-3 (
  ""Number"" TEXT,
  ""Title"" TEXT,
  ""Born"" TEXT,
  ""Died"" TEXT,
  ""Date_Married"" TEXT,
  ""Issue"" TEXT,
  ""Mother"" TEXT
);","SELECT ""Title"" FROM 2-163029-3 WHERE ""Number"" = 4",2-163029-3
What is the height of number 52?,"CREATE TABLE 2-14624447-26 (
  ""Position"" TEXT,
  ""Number"" TEXT,
  ""Name"" TEXT,
  ""Height"" TEXT,
  ""Weight"" TEXT,
  ""Class"" TEXT,
  ""Hometown"" TEXT,
  ""Games_"" TEXT
);","SELECT ""Height"" FROM 2-14624447-26 WHERE ""Number"" = 52",2-14624447-26
When 1994 is the first elected what is the district?,"CREATE TABLE 1-19753079-41 (
  ""District"" TEXT,
  ""Incumbent"" TEXT,
  ""Party"" TEXT,
  ""First_elected"" TEXT,
  ""Result"" TEXT,
  ""Candidates"" TEXT
);","SELECT ""District"" FROM 1-19753079-41 WHERE ""First_elected"" = 1994",1-19753079-41
What are all percentages of overweight or obese adults for obesity rank of 21?,"CREATE TABLE 1-18958648-1 (
  ""State_and_District_of_Columbia"" TEXT,
  ""Obese_adults"" TEXT,
  ""Overweight__incl__obese__adults"" TEXT,
  ""Obese_children_and_adolescents"" TEXT,
  ""Obesity_rank"" TEXT
);","SELECT ""Overweight__incl__obese__adults"" FROM 1-18958648-1 WHERE ""Obesity_rank"" = 21",1-18958648-1
What is the latitude for a crater with a diameter of 12.8 km and a longitude of 208?,"CREATE TABLE 2-1145513-24 (
  ""Name"" TEXT,
  ""Latitude"" TEXT,
  ""Longitude"" TEXT,
  ""Diameter__km_"" TEXT,
  ""Named_after"" TEXT
);","SELECT AVG(""Latitude"") FROM 2-1145513-24 WHERE ""Diameter__km_"" < 12.8 AND ""Longitude"" < 208",2-1145513-24
What is the silver medal count of the team that finished with 8 bronze medals?,"CREATE TABLE 2-10942983-1 (
  ""Rank"" TEXT,
  ""Nation"" TEXT,
  ""Gold"" TEXT,
  ""Silver"" TEXT,
  ""Bronze"" TEXT,
  ""Total"" TEXT
);","SELECT SUM(""Silver"") FROM 2-10942983-1 WHERE ""Bronze"" = 8",2-10942983-1
What was the highest number of gold medals when there were 0 silver medals?,"CREATE TABLE 2-18618431-4 (
  ""Rank"" TEXT,
  ""Nation"" TEXT,
  ""Gold"" TEXT,
  ""Silver"" TEXT,
  ""Bronze"" TEXT,
  ""Total"" TEXT
);","SELECT MAX(""Gold"") FROM 2-18618431-4 WHERE ""Silver"" < 0",2-18618431-4
What was the series standing for games over 4?,"CREATE TABLE 2-14208850-11 (
  ""Game"" TEXT,
  ""Date"" TEXT,
  ""Opponent"" TEXT,
  ""Score"" TEXT,
  ""Series"" TEXT
);","SELECT ""Series"" FROM 2-14208850-11 WHERE ""Game"" > 4",2-14208850-11
"Which Silver has a Total of 7, and a Gold larger than 1?","CREATE TABLE 2-17124622-3 (
  ""Rank"" TEXT,
  ""Nation"" TEXT,
  ""Gold"" TEXT,
  ""Silver"" TEXT,
  ""Bronze"" TEXT,
  ""Total"" TEXT
);","SELECT AVG(""Silver"") FROM 2-17124622-3 WHERE ""Total"" = 7 AND ""Gold"" > 1",2-17124622-3
What is the Name of draft Pick #10?,"CREATE TABLE 2-15198842-7 (
  ""Round"" TEXT,
  ""Pick__"" TEXT,
  ""Overall"" TEXT,
  ""Name"" TEXT,
  ""Position"" TEXT,
  ""College"" TEXT
);","SELECT ""Name"" FROM 2-15198842-7 WHERE ""Pick__"" = 10",2-15198842-7
What is the average when interview is 9.465 and evening gown is less than 9.454?,"CREATE TABLE 2-17516967-1 (
  ""State"" TEXT,
  ""Preliminary"" TEXT,
  ""Interview"" TEXT,
  ""Swimsuit"" TEXT,
  ""Evening_Gown"" TEXT,
  ""Average"" TEXT
);","SELECT SUM(""Average"") FROM 2-17516967-1 WHERE ""Interview"" = 9.465 AND ""Evening_Gown"" < 9.454",2-17516967-1
What is the most recent census year?,"CREATE TABLE 1-1532779-1 (
  ""Census_Year"" TEXT,
  ""Number_of_Muslims_000"" TEXT,
  ""Population_of_England_and_Wales_000"" TEXT,
  ""Muslim____of_Total_population_"" TEXT,
  ""Registered_Mosques"" TEXT,
  ""Muslims_per_mosque"" TEXT
);","SELECT MAX(""Census_Year"") FROM 1-1532779-1",1-1532779-1
Name the average fall 07 for fall 07 more than 219,"CREATE TABLE 2-15055594-5 (
  ""Maryland_Counties"" TEXT,
  ""Fall_05"" TEXT,
  ""Fall_06"" TEXT,
  ""Fall_07"" TEXT,
  ""Fall_08"" TEXT,
  ""Fall_09"" TEXT
);","SELECT AVG(""Fall_07"") FROM 2-15055594-5 WHERE ""Fall_06"" > 219",2-15055594-5
How much Rank has Points larger than 282.5?,"CREATE TABLE 2-14407512-10 (
  ""Rank"" TEXT,
  ""Name"" TEXT,
  ""Nationality"" TEXT,
  ""_1st__m_"" TEXT,
  ""_2nd__m_"" TEXT,
  ""Points"" TEXT,
  ""Overall_FHT_points"" TEXT,
  ""Overall_WC_points__Rank_"" TEXT
);","SELECT COUNT(""Rank"") FROM 2-14407512-10 WHERE ""Points"" > 282.5",2-14407512-10
Episode of 9 in which performer 3 had?,"CREATE TABLE 2-14934885-7 (
  ""Date"" TEXT,
  ""Episode"" TEXT,
  ""Performer_1"" TEXT,
  ""Performer_2"" TEXT,
  ""Performer_3"" TEXT,
  ""Performer_4"" TEXT
);","SELECT ""Performer_3"" FROM 2-14934885-7 WHERE ""Episode"" = 9",2-14934885-7
WHAT WAS THE FINISH NUMBER WITH A START SMALLER THAN 20 IN 1969?,"CREATE TABLE 2-1785736-1 (
  ""Year"" TEXT,
  ""Manufacturer"" TEXT,
  ""Start"" TEXT,
  ""Finish"" TEXT,
  ""Team"" TEXT
);","SELECT COUNT(""Finish"") FROM 2-1785736-1 WHERE ""Start"" < 20 AND ""Year"" = 1969",2-1785736-1
When is the most recent year with more than 27 points and more than 5 wins?,"CREATE TABLE 2-14860663-4 (
  ""Year"" TEXT,
  ""Class"" TEXT,
  ""Team"" TEXT,
  ""Points"" TEXT,
  ""Wins"" TEXT
);","SELECT MAX(""Year"") FROM 2-14860663-4 WHERE ""Points"" > 27 AND ""Wins"" > 5",2-14860663-4
"For Laps smaller than 6, what does the Grid add up to?","CREATE TABLE 2-1122409-1 (
  ""Driver"" TEXT,
  ""Constructor"" TEXT,
  ""Laps"" TEXT,
  ""Time_Retired"" TEXT,
  ""Grid"" TEXT
);","SELECT SUM(""Grid"") FROM 2-1122409-1 WHERE ""Laps"" < 6",2-1122409-1
Which nationality has a split in the 50m of 29.51?,"CREATE TABLE 2-10331421-1 (
  ""Place"" TEXT,
  ""Lane"" TEXT,
  ""Name"" TEXT,
  ""Nationality"" TEXT,
  ""_50m_Split"" TEXT,
  ""_100m_Split"" TEXT,
  ""_150m_Split"" TEXT,
  ""Time"" TEXT
);","SELECT ""Nationality"" FROM 2-10331421-1 WHERE ""_50m_Split"" = 29.51",2-10331421-1
Who is the player from round 8?,"CREATE TABLE 2-17310913-13 (
  ""Round"" TEXT,
  ""Player"" TEXT,
  ""Position"" TEXT,
  ""Nationality"" TEXT,
  ""College_Junior_Club_Team__League_"" TEXT
);","SELECT ""Player"" FROM 2-17310913-13 WHERE ""Round"" = 8",2-17310913-13
Name the highest Played of Goals Scored smaller than 18 and a Lost larger than 10?,"CREATE TABLE 2-17633162-5 (
  ""Team"" TEXT,
  ""Played"" TEXT,
  ""Draw"" TEXT,
  ""Lost"" TEXT,
  ""Goals_Scored"" TEXT,
  ""Goals_Conceded"" TEXT,
  ""Points"" TEXT
);","SELECT MAX(""Played"") FROM 2-17633162-5 WHERE ""Goals_Scored"" < 18 AND ""Lost"" > 10",2-17633162-5
What was the minimum population in 2011?,"CREATE TABLE 1-2328113-1 (
  ""Mother_Tongue"" TEXT,
  ""Population__2006_"" TEXT,
  ""Percentage__2006_"" TEXT,
  ""Population__2011_"" TEXT,
  ""Percentage__2011_"" TEXT
);","SELECT MIN(""Population__2011_"") FROM 1-2328113-1",1-2328113-1
How many burglary crimes were committed if the forcible rapes were 1233?,"CREATE TABLE 1-26060884-2 (
  ""Year"" TEXT,
  ""Population"" TEXT,
  ""Total"" TEXT,
  ""Violent"" TEXT,
  ""Property_Crimes"" TEXT,
  ""Forcible_rape"" TEXT,
  ""Robbery"" TEXT,
  ""Aggravated_assault"" TEXT,
  ""Burglary"" TEXT,
  ""Larceny_Theft"" TEXT,
  ""Vehicle_Theft"" TEXT
);","SELECT ""Burglary"" FROM 1-26060884-2 WHERE ""Forcible_rape"" = 1233",1-26060884-2
What is the Name of the Players with a Rank of 18?,"CREATE TABLE 2-16831299-5 (
  ""Rank"" TEXT,
  ""Name"" TEXT,
  ""Nation"" TEXT,
  ""Points"" TEXT,
  ""Placings"" TEXT
);","SELECT ""Name"" FROM 2-16831299-5 WHERE ""Rank"" = 18",2-16831299-5
How many pixels would be found in a hardware colour of 8?,"CREATE TABLE 1-1701371-2 (
  ""Graphics_mode"" TEXT,
  ""Char_cells"" TEXT,
  ""Pixels"" TEXT,
  ""Hardware_colours"" TEXT,
  ""used__KB_"" TEXT,
  ""map"" TEXT,
  ""Type"" TEXT
);","SELECT ""Pixels"" FROM 1-1701371-2 WHERE ""Hardware_colours"" = 8",1-1701371-2
What is the 2010 population when the 2000 population is 5720? ,"CREATE TABLE 1-2144436-1 (
  ""Barangay"" TEXT,
  ""Population__2000_"" TEXT,
  ""Population__2007_"" TEXT,
  ""Population__2010_"" TEXT,
  ""Barangay_Fiesta"" TEXT
);","SELECT MAX(""Population__2010_"") FROM 1-2144436-1 WHERE ""Population__2000_"" = 5720",1-2144436-1
What is the Attendance of Game 24?,"CREATE TABLE 2-18703579-2 (
  ""Game"" TEXT,
  ""Date"" TEXT,
  ""Opponents"" TEXT,
  ""Venue"" TEXT,
  ""Result"" TEXT,
  ""Score_F_A"" TEXT,
  ""Attendance"" TEXT
);","SELECT SUM(""Attendance"") FROM 2-18703579-2 WHERE ""Game"" = 24",2-18703579-2
"What is the total number for November, larger than 8.53 in February, 20.21 in March, and less than 7.9 in September?","CREATE TABLE 2-15945862-1 (
  ""Year"" TEXT,
  ""January"" TEXT,
  ""February"" TEXT,
  ""March"" TEXT,
  ""April"" TEXT,
  ""June"" TEXT,
  ""July"" TEXT,
  ""August"" TEXT,
  ""September"" TEXT,
  ""October"" TEXT,
  ""November"" TEXT,
  ""December"" TEXT,
  ""Annual_Additions_in_millions_"" TEXT,
  ""Average_Monthly_Additions_in_millions_"" TEXT
);","SELECT COUNT(""November"") FROM 2-15945862-1 WHERE ""February"" > 8.53 AND ""March"" = 20.21 AND ""September"" < 7.9",2-15945862-1
What is the Date of Birth with a Block that is larger than 342?,"CREATE TABLE 2-15859432-9 (
  ""Name"" TEXT,
  ""Date_of_Birth"" TEXT,
  ""Height"" TEXT,
  ""Weight"" TEXT,
  ""Spike"" TEXT,
  ""Block"" TEXT
);","SELECT ""Date_of_Birth"" FROM 2-15859432-9 WHERE ""Block"" > 342",2-15859432-9
