,reference_tables,predicted_tables
221,entrepreneur,entrepreneur
222,hotels,hotels
223,"tourist_attractions, visits","tourist_attractions, visits"
224,hotels,hotels
225,tourist_attractions,tourist_attractions
226,"tourist_attractions, tourist_attraction_features, features","tourist_attractions, tourist_attraction_features, features"
227,locations,locations
228,hotels,hotels
229,hotels,hotels
230,"ref_attraction_types, tourist_attractions","ref_attraction_types, tourist_attractions"
231,hotels,hotels
232,"museums, tourist_attractions","museums, tourist_attractions"
233,locations,locations
234,"photos, tourist_attractions","photos, tourist_attractions"
235,"royal_family, tourist_attractions","royal_family, tourist_attractions"
236,"tourist_attractions, visitors, visits","tourist_attractions, visitors, visits"
237,locations,locations
238,"shops, tourist_attractions","shops, tourist_attractions"
239,"tourist_attractions, visits","tourist_attractions, visits"
240,"tourist_attractions, visitors, visits","tourist_attractions, visitors, visits"
241,hotels,hotels
242,"shops, tourist_attractions","shops, tourist_attractions"
243,hotels,hotels
244,hotels,hotels
245,visitors,visitors
246,staff,staff
247,"visitors, visits","visitors, visits"
248,hotels,hotels
249,"staff, tourist_attractions","staff, tourist_attractions"
250,hotels,hotels
251,"locations, tourist_attractions","locations, tourist_attractions"
252,"street_markets, tourist_attractions","street_markets, tourist_attractions"
253,"tourist_attractions, visits, visitors","tourist_attractions, visits, visitors"
254,"tourist_attractions, visits","tourist_attractions, visits"
255,locations,locations
256,"photos, tourist_attractions","photos, tourist_attractions"
257,"tourist_attractions, visits","tourist_attractions, visits"
258,hotels,hotels
259,visits,visits
260,"tourist_attractions, visitors, visits","tourist_attractions, visitors, visits"
261,hotels,hotels
262,hotels,hotels
263,locations,locations
264,hotels,hotels
265,tourist_attractions,tourist_attractions
266,photos,photos
267,"photos, tourist_attractions","photos, tourist_attractions"
268,tourist_attractions,tourist_attractions
269,tourist_attractions,tourist_attractions
270,"hotels, ref_hotel_star_ratings","hotels, ref_hotel_star_ratings"
271,"visitors, visits","visitors, visits"
272,tourist_attractions,tourist_attractions
273,locations,locations
274,staff,staff
275,"ref_attraction_types, tourist_attractions","ref_attraction_types, tourist_attractions"
276,"tourist_attractions, visits","tourist_attractions, visits"
277,tourist_attractions,tourist_attractions
278,"tourist_attractions, visitors, visits","tourist_attractions, visitors, visits"
279,locations,locations
280,"tourist_attractions, visitors, visits","tourist_attractions, visitors, visits"
281,"locations, tourist_attractions","locations, tourist_attractions"
282,"tourist_attractions, tourist_attraction_features, features","tourist_attractions, tourist_attraction_features, features"
283,hotels,hotels
284,"hotels, ref_hotel_star_ratings","hotels, ref_hotel_star_ratings"
285,"royal_family, tourist_attractions","royal_family, tourist_attractions"
286,hotels,hotels
287,"visitors, visits","visitors, visits"
288,hotels,hotels
289,hotels,hotels
290,"tourist_attractions, visits, visitors","tourist_attractions, visits, visitors"
291,"street_markets, tourist_attractions","street_markets, tourist_attractions"
292,visitors,visitors
293,"photos, tourist_attractions","photos, tourist_attractions"
294,"tourist_attractions, visits","tourist_attractions, visits"
295,"visitors, visits","visitors, visits"
296,locations,locations
297,tourist_attractions,tourist_attractions
298,elimination,elimination
299,"elimination, wrestler","elimination, wrestler"
300,wrestler,wrestler
301,wrestler,wrestler
302,elimination,elimination
303,"elimination, wrestler","elimination, wrestler"
304,elimination,elimination
305,"elimination, wrestler","elimination, wrestler"
306,elimination,elimination
307,"wrestler, elimination","wrestler, elimination"
308,elimination,elimination
309,wrestler,wrestler
310,wrestler,wrestler
311,"elimination, wrestler","elimination, wrestler"
312,"elimination, wrestler","elimination, wrestler"
313,elimination,elimination
314,elimination,elimination
315,elimination,elimination
316,wrestler,wrestler
317,wrestler,wrestler
318,"elimination, wrestler","elimination, wrestler"
319,wrestler,wrestler
320,wrestler,wrestler
321,wrestler,wrestler
322,wrestler,wrestler
323,"elimination, wrestler","elimination, wrestler"
324,elimination,elimination
325,wrestler,wrestler
326,wrestler,wrestler
327,wrestler,wrestler
328,wrestler,wrestler
329,wrestler,wrestler
330,"wrestler, elimination","wrestler, elimination"
331,elimination,elimination
332,wrestler,wrestler
333,"elimination, wrestler","elimination, wrestler"
334,"review, business","review, business"
335,"user, review","user, review"
336,"category, business","category, business"
337,review,review
338,"category, business, review","category, business, review"
339,"category, business","category, business"
340,"category, business","category, business"
341,business,business
342,"review, business","review, business"
343,"user, tip","user, tip"
344,"neighbourhood, business","neighbourhood, business"
345,"category, business, tip, user","category, business, tip, user"
346,"category, business, neighbourhood","category, business, neighbourhood"
347,tip,tip
348,"category, business","category, business"
349,"category, business, checkin","category, business, checkin"
350,"category, business","category, business"
351,"category, business","category, business"
352,"user, tip","user, tip"
353,user,user
354,"review, business, user","review, business, user"
355,"category, business","category, business"
356,"checkin, business","checkin, business"
357,"checkin, business, neighbourhood","checkin, business, neighbourhood"
358,"category, business","category, business"
359,"user, tip","user, tip"
360,"category, business, neighbourhood","category, business, neighbourhood"
361,business,business
362,"category, business","category, business"
363,"tip, business","tip, business"
364,"category, business, review, user","category, business, review, user"
365,"neighbourhood, business","neighbourhood, business"
366,"category, business, review, user","category, business, review, user"
367,"category, business","category, business"
368,"category, business","category, business"
369,business,business
370,"category, business, review, user","category, business, review, user"
371,business,business
372,"category, business, checkin","category, business, checkin"
373,"user, tip","user, tip"
374,"checkin, business","checkin, business"
375,user,user
376,"category, business, review","category, business, review"
377,business,business
378,"category, business, review, user","category, business, review, user"
379,"category, business","category, business"
380,"category, business","category, business"
381,"neighbourhood, business, review","neighbourhood, business, review"
382,tip,tip
383,"user, review","user, review"
384,business,business
385,"category, business","category, business"
386,"category, business","category, business"
387,business,business
388,"tip, business, user","tip, business, user"
389,"user, review","user, review"
390,"category, business","category, business"
391,business,business
392,business,business
393,"category, business, neighbourhood","category, business, neighbourhood"
394,"category, business","category, business"
395,"review, business, user","review, business, user"
396,"category, business, review, user","category, business, review, user"
397,"category, business","category, business"
398,"category, business","category, business"
399,"category, business","category, business"
400,"category, business, checkin","category, business, checkin"
401,business,business
402,"category, business","category, business"
403,"category, business","category, business"
404,"category, business","category, business"
405,"tip, business","tip, business"
406,"category, business, neighbourhood","category, business, neighbourhood"
407,"category, business","category, business"
408,"category, business, checkin","category, business, checkin"
409,"user, review, tip","user, review, tip"
410,"review, business, user","review, business, user"
411,business,business
412,"tip, business","tip, business"
413,"category, business","category, business"
414,"neighbourhood, business","neighbourhood, business"
415,review,review
416,"category, business, review, user","category, business, review, user"
417,"review, business, user","review, business, user"
418,"review, business, user","review, business, user"
419,"category, business","category, business"
420,"user, review","user, review"
421,"category, business, checkin","category, business, checkin"
422,"tip, business, user","tip, business, user"
423,business,business
424,"tip, business","tip, business"
425,"category, business","category, business"
426,"category, business, review, user","category, business, review, user"
427,"user, review","user, review"
428,"category, business, review, user","category, business, review, user"
429,"category, business","category, business"
430,"category, business, review, user","category, business, review, user"
431,"category, business","category, business"
432,"category, business","category, business"
433,review,review
434,"detention, Ref_detention_Type","detention, Ref_detention_Type"
435,teachers,teachers
436,"addresses, teachers","addresses, teachers"
437,"addresses, Student_addresses","addresses, Student_addresses"
438,"student_addresses, students","student_addresses, students"
439,detention,detention
440,students,students
441,"addresses, Student_addresses","addresses, Student_addresses"
442,"addresses, students, teachers","addresses, students, teachers"
443,"assessment_notes, students","assessment_notes, students"
444,"assessment_notes, students","assessment_notes, students"
445,"assessment_notes, teachers","assessment_notes, teachers"
446,"student_addresses, students","student_addresses, students"
447,"students, behavior_incident","students, behavior_incident"
448,"addresses, teachers","addresses, teachers"
449,teachers,teachers
450,"teachers, detention","teachers, detention"
451,detention,detention
452,assessment_notes,assessment_notes
453,"addresses, Student_addresses","addresses, Student_addresses"
454,"behavior_incident, students","behavior_incident, students"
455,student_addresses,student_addresses
456,"behavior_incident, ref_incident_type","behavior_incident, ref_incident_type"
457,"assessment_notes, teachers","assessment_notes, teachers"
458,addresses,addresses
459,assessment_notes,assessment_notes
460,"detention, teachers","detention, teachers"
461,assessment_notes,assessment_notes
462,students,students
463,ref_incident_type,ref_incident_type
464,addresses,addresses
465,"detention, teachers","detention, teachers"
466,behavior_incident,behavior_incident
467,"addresses, students","addresses, students"
468,"behavior_incident, students","behavior_incident, students"
469,"addresses, Student_addresses","addresses, Student_addresses"
470,"film_market_estimation, market","film_market_estimation, market"
471,"film, film_market_estimation, market","film, film_market_estimation, market"
472,"film, film_market_estimation","film, film_market_estimation"
473,"film, film_market_estimation","film, film_market_estimation"
474,film,film
475,"film_market_estimation, market","film_market_estimation, market"
476,market,market
477,"film, film_market_estimation","film, film_market_estimation"
478,film,film
479,"film_market_estimation, market","film_market_estimation, market"
480,market,market
481,film_market_estimation,film_market_estimation
482,market,market
483,"film, film_market_estimation","film, film_market_estimation"
484,film,film
485,film,film
486,market,market
487,market,market
488,film,film
489,"film, film_market_estimation, market","film, film_market_estimation, market"
490,film,film
491,film_market_estimation,film_market_estimation
492,market,market
493,film,film
494,market,market
495,market,market
496,film,film
497,"film_market_estimation, market","film_market_estimation, market"
498,film,film
499,film,film
500,film,film
501,"film, film_market_estimation","film, film_market_estimation"
502,film_market_estimation,film_market_estimation
503,"film_market_estimation, market","film_market_estimation, market"
504,"film_market_estimation, market","film_market_estimation, market"
505,film,film
506,"film, film_market_estimation","film, film_market_estimation"
507,"film, film_market_estimation","film, film_market_estimation"
508,"film, film_market_estimation","film, film_market_estimation"
509,film,film
510,film,film
511,film,film
512,film,film
513,film,film
514,catalog_contents,catalog_contents
515,catalog_contents,catalog_contents
516,"catalog_contents, catalog_contents_Additional_Attributes","catalog_contents, catalog_contents_Additional_Attributes"
517,"catalog_contents, catalog_contents_Additional_Attributes","catalog_contents, catalog_contents_Additional_Attributes"
518,"catalogs, catalog_structure","catalogs, catalog_structure"
519,"catalog_contents, catalog_structure","catalog_contents, catalog_structure"
520,catalog_contents,catalog_contents
521,catalog_contents,catalog_contents
522,catalog_contents,catalog_contents
523,attribute_definitions,attribute_definitions
524,catalogs,catalogs
525,catalog_contents,catalog_contents
526,catalog_contents,catalog_contents
527,catalog_contents,catalog_contents
528,"attribute_definitions, catalog_contents_additional_attributes","attribute_definitions, catalog_contents_additional_attributes"
529,catalog_contents,catalog_contents
530,catalog_contents,catalog_contents
531,catalog_contents,catalog_contents
532,catalog_contents,catalog_contents
533,"catalogs, catalog_structure","catalogs, catalog_structure"
534,catalog_contents,catalog_contents
535,catalog_contents,catalog_contents
536,catalogs,catalogs
537,"attribute_definitions, catalog_contents_additional_attributes","attribute_definitions, catalog_contents_additional_attributes"
538,catalog_contents,catalog_contents
539,catalogs,catalogs
540,catalog_contents,catalog_contents
541,"catalog_contents, catalog_structure","catalog_contents, catalog_structure"
542,attribute_definitions,attribute_definitions
543,attribute_definitions,attribute_definitions
544,"catalog_contents, catalog_contents_Additional_Attributes","catalog_contents, catalog_contents_Additional_Attributes"
545,catalog_contents,catalog_contents
546,catalogs,catalogs
547,catalog_contents,catalog_contents
548,catalog_structure,catalog_structure
549,catalog_contents,catalog_contents
550,attribute_definitions,attribute_definitions
551,catalogs,catalogs
552,"routes, airports","routes, airports"
553,airports,airports
554,airports,airports
555,airports,airports
556,"routes, airports","routes, airports"
557,airlines,airlines
558,airlines,airlines
559,airports,airports
560,airports,airports
561,airports,airports
562,"airports, routes","airports, routes"
563,airlines,airlines
564,airlines,airlines
565,airports,airports
566,"airlines, routes","airlines, routes"
567,"airports, routes","airports, routes"
568,airports,airports
569,"airports, routes","airports, routes"
570,"routes, airports","routes, airports"
571,airports,airports
572,"airports, routes","airports, routes"
573,airports,airports
574,airports,airports
575,airports,airports
576,"airports, routes","airports, routes"
577,airports,airports
578,airports,airports
579,"airports, routes","routes, airports"
580,"airports, routes","airports, routes"
581,airlines,airlines
582,airports,airports
583,airlines,airlines
584,"airports, routes","airports, routes"
585,"airports, routes","airports, routes"
586,"airlines, routes","airlines, routes"
587,airports,airports
588,"airlines, routes","airlines, routes"
589,"airports, routes","airports, routes"
590,"airports, routes","airports, routes"
591,airports,airports
592,airports,airports
593,"airports, routes","airports, routes"
594,"airports, routes","airports, routes"
595,airlines,airlines
596,"airlines, routes","airlines, routes"
597,"airports, routes","airports, routes"
598,"routes, airports, airlines","routes, airports, airlines"
599,airports,airports
600,airports,airports
601,"routes, airports","routes, airports"
602,airports,airports
603,airports,airports
604,airports,airports
605,airports,airports
606,"airports, routes","airports, routes"
607,airports,airports
608,"airports, routes","airports, routes"
609,"airlines, routes","airlines, routes"
610,"routes, airports","routes, airports"
611,"routes, airports","routes, airports"
612,"airlines, routes","airlines, routes"
613,airlines,airlines
614,airports,airports
615,airlines,airlines
616,"airlines, routes","airlines, routes"
617,airports,airports
618,airports,airports
619,airlines,airlines
620,airports,airports
621,"airlines, routes","airlines, routes"
622,"routes, airports, airlines","routes, airports, airlines"
623,airports,airports
624,airports,airports
625,"airlines, routes","airlines, routes"
626,injury_accident,injury_accident
627,game,game
628,"game, stadium, injury_accident","game, stadium, injury_accident"
629,"stadium, game, injury_accident","stadium, game, injury_accident"
630,"game, injury_accident","game, injury_accident"
631,"stadium, game, injury_accident","stadium, game, injury_accident"
632,stadium,stadium
633,game,game
634,stadium,stadium
635,"stadium, game, injury_accident","stadium, game, injury_accident"
636,"game, stadium, injury_accident","game, stadium, injury_accident"
637,"game, injury_accident","game, injury_accident"
638,"game, injury_accident","game, injury_accident"
639,"injury_accident, game","injury_accident, game"
640,injury_accident,injury_accident
641,"stadium, game","stadium, game"
642,stadium,stadium
643,"game, injury_accident","game, injury_accident"
644,"appointment, patient","appointment, patient"
645,"physician, appointment","physician, appointment"
646,"patient, prescribes, medication","patient, prescribes, medication"
647,"nurse, appointment","nurse, appointment"
648,"procedures, physician, trained_in","procedures, physician, trained_in"
649,undergoes,undergoes
650,stay,stay
651,physician,physician
652,"physician, trained_in, procedures","physician, trained_in, procedures"
653,room,room
654,medication,medication
655,"patient, appointment","patient, appointment"
656,"physician, affiliated_with, department","physician, affiliated_with, department"
657,"physician, affiliated_with, department","physician, affiliated_with, department"
658,"physician, trained_in, procedures","physician, trained_in, procedures"
659,"physician, trained_in, procedures","physician, trained_in, procedures"
660,"physician, prescribes","physician, prescribes"
661,"stay, patient, prescribes, medication","stay, patient, prescribes, medication"
662,"patient, prescribes, medication","patient, prescribes, medication"
663,"physician, affiliated_with, department","physician, affiliated_with, department"
664,"appointment, patient","appointment, patient"
665,"appointment, physician","appointment, physician"
666,room,room
667,nurse,nurse
668,"procedures, physician, trained_in","procedures, physician, trained_in"
669,appointment,appointment
670,"nurse, on_call","nurse, on_call"
671,"appointment, patient","appointment, patient"
672,"physician, prescribes, medication","physician, prescribes, medication"
673,"physician, trained_in, procedures","physician, trained_in, procedures"
674,"physician, affiliated_with, department","physician, affiliated_with, department"
675,"affiliated_with, department","affiliated_with, department"
676,stay,stay
677,"physician, patient","physician, patient"
678,"stay, patient, prescribes, medication","stay, patient, prescribes, medication"
679,"appointment, physician","appointment, physician"
680,affiliated_with,affiliated_with
681,"undergoes, patient, stay","undergoes, patient, stay"
682,appointment,appointment
683,"nurse, appointment","nurse, appointment"
684,nurse,nurse
685,"physician, patient","physician, patient"
686,affiliated_with,affiliated_with
687,"department, physician","department, physician"
688,"medication, prescribes","medication, prescribes"
689,room,room
690,"physician, trained_in, procedures","physician, trained_in, procedures"
691,"physician, patient","physician, patient"
692,"medication, prescribes","medication, prescribes"
693,"physician, prescribes, medication","physician, prescribes, medication"
694,department,department
695,"appointment, patient","appointment, patient"
696,stay,stay
697,"patient, prescribes, medication","patient, prescribes, medication"
698,"block, room","block, room"
699,"undergoes, patient, stay","undergoes, patient, stay"
700,"block, room","block, room"
701,room,room
702,undergoes,undergoes
703,"physician, appointment","physician, appointment"
704,"undergoes, nurse","undergoes, nurse"
705,"procedures, physician, trained_in","procedures, physician, trained_in"
706,"physician, trained_in, procedures","physician, trained_in, procedures"
707,"affiliated_with, department","affiliated_with, department"
708,"physician, prescribes, medication","physician, prescribes, medication"
709,procedures,procedures
710,"department, physician","department, physician"
711,"physician, affiliated_with, department","physician, affiliated_with, department"
712,appointment,appointment
713,"physician, prescribes, medication","physician, prescribes, medication"
714,on_call,on_call
715,"patient, prescribes, physician","patient, prescribes, physician"
716,on_call,on_call
717,procedures,procedures
718,"patient, prescribes, medication","patient, prescribes, medication"
719,procedures,procedures
720,procedures,procedures
721,physician,physician
722,stay,stay
723,"block, room","block, room"
724,"patient, appointment","patient, appointment"
725,"physician, trained_in, procedures","physician, trained_in, procedures"
726,"block, room","block, room"
727,"undergoes, nurse","undergoes, nurse"
728,department,department
729,medication,medication
730,"physician, affiliated_with, department","physician, affiliated_with, department"
731,"patient, prescribes, physician","patient, prescribes, physician"
732,procedures,procedures
733,"physician, trained_in, procedures","physician, trained_in, procedures"
734,companies,companies
735,buildings,buildings
736,"office_locations, buildings, companies","office_locations, buildings, companies"
737,companies,companies
738,companies,companies
739,"office_locations, buildings, companies","office_locations, buildings, companies"
740,companies,companies
741,buildings,buildings
742,companies,companies
743,companies,companies
744,companies,companies
745,companies,companies
746,buildings,buildings
747,companies,companies
748,companies,companies
749,companies,companies
750,companies,companies
751,"buildings, office_locations","buildings, office_locations"
752,companies,companies
753,companies,companies
754,companies,companies
755,companies,"companies, sales"
756,"office_locations, buildings, companies","office_locations, buildings, companies"
757,companies,companies
758,"buildings, office_locations","buildings, office_locations"
759,"office_locations, buildings, companies","office_locations, buildings, companies"
760,companies,companies
761,buildings,buildings
762,companies,companies
763,companies,companies
764,"office_locations, buildings, companies","office_locations, buildings, companies"
765,companies,companies
766,companies,companies
767,companies,companies
768,companies,companies
769,"office_locations, buildings, companies","office_locations, buildings, companies"
770,"member, party","member, party"
771,party,party
772,party,party
773,party,party
774,party,party
775,"party_events, party","party_events, party"
776,"region, party, party_events","region, party, party_events"
777,party_events,party_events
778,party,party
779,member,member
780,"member, party","member, party"
781,party_events,party_events
782,"member, party","member, party"
783,party_events,party_events
784,"member, party","member, party"
785,"member, party_events","member, party_events"
786,"member, party","member, party"
787,party,party
788,region,region
789,"party, member","party, member"
790,"party_events, party","party_events, party"
791,region,region
792,"party, region","party, region"
793,"party, region","party, region"
794,party,party
795,region,region
796,"member, party_events","member, party_events"
797,"member, party_events","member, party_events"
798,"member, party","member, party"
799,"party_events, party","party_events, party"
800,"member, party","member, party"
801,"party, member","party, member"
802,"member, party","member, party"
803,region,region
804,member,member
805,party_events,party_events
806,party,party
807,"region, party, party_events","region, party, party_events"
808,party,party
809,"member, party_events","member, party_events"
810,web_client_accelerator,web_client_accelerator
811,browser,browser
812,web_client_accelerator,web_client_accelerator
813,"browser, accelerator_compatible_browser","browser, accelerator_compatible_browser"
814,browser,browser
815,"web_client_accelerator, accelerator_compatible_browser","web_client_accelerator, accelerator_compatible_browser"
816,web_client_accelerator,web_client_accelerator
817,web_client_accelerator,web_client_accelerator
818,"accelerator_compatible_browser, browser, web_client_accelerator","accelerator_compatible_browser, browser, web_client_accelerator"
819,"accelerator_compatible_browser, browser, web_client_accelerator","accelerator_compatible_browser, browser, web_client_accelerator"
820,"web_client_accelerator, accelerator_compatible_browser, browser","web_client_accelerator, accelerator_compatible_browser, browser"
821,"web_client_accelerator, accelerator_compatible_browser, browser","web_client_accelerator, accelerator_compatible_browser, browser"
822,browser,browser
823,browser,browser
824,browser,browser
825,"web_client_accelerator, accelerator_compatible_browser, browser","web_client_accelerator, accelerator_compatible_browser, browser"
826,"web_client_accelerator, accelerator_compatible_browser","web_client_accelerator, accelerator_compatible_browser"
827,"sales, transactions","sales, transactions"
828,lots,lots
829,"investors, transactions","investors, transactions"
830,"investors, transactions","investors, transactions"
831,transactions,transactions
832,transactions,transactions
833,"investors, transactions","investors, transactions"
834,transactions,transactions
835,transactions,transactions
836,transactions,transactions
837,"lots, transactions_lots, transactions","lots, transactions_lots, transactions"
838,"purchases, transactions","purchases, transactions"
839,transactions,transactions
840,transactions,transactions
841,transactions,transactions
842,transactions,transactions
843,transactions,transactions
844,"ref_transaction_types, transactions","ref_transaction_types, transactions"
845,"transactions, transactions_lots","transactions, transactions_lots"
846,lots,lots
847,transactions,transactions
848,"ref_transaction_types, transactions","ref_transaction_types, transactions"
849,transactions,transactions
850,"investors, lots","investors, lots"
851,transactions,transactions
852,transactions,transactions
853,investors,investors
854,"investors, transactions","investors, transactions"
855,transactions,transactions
856,transactions,transactions
857,"investors, transactions","investors, transactions"
858,"lots, transactions_lots, transactions","lots, transactions_lots, transactions"
859,ref_transaction_types,ref_transaction_types
860,transactions,transactions
861,transactions,transactions
862,transactions,transactions
863,"sales, purchases","sales, purchases"
864,"university, basketball_match","university, basketball_match"
865,university,university
866,basketball_match,basketball_match
867,university,university
868,university,university
869,basketball_match,basketball_match
870,"university, basketball_match","university, basketball_match"
871,university,university
872,basketball_match,basketball_match
873,university,university
874,"university, basketball_match","university, basketball_match"
875,university,university
876,"university, basketball_match","university, basketball_match"
877,"university, basketball_match","university, basketball_match"
878,university,university
879,university,university
880,"university, basketball_match","university, basketball_match"
881,basketball_match,basketball_match
882,"university, basketball_match","university, basketball_match"
883,"university, basketball_match","university, basketball_match"
884,university,university
885,university,university
886,basketball_match,basketball_match
887,basketball_match,basketball_match
888,university,university
889,university,university
890,university,university
891,university,university
892,university,university
893,"university, basketball_match","university, basketball_match"
894,university,university
895,university,university
896,basketball_match,basketball_match
897,university,university
898,university,university
899,university,university
900,university,university
901,university,university
902,university,university
903,basketball_match,basketball_match
904,university,university
905,university,university
906,"restaurant, geographic, location","restaurant, geographic, location"
907,"restaurant, location","restaurant, location"
